FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=691 resimTicks=127 amplification=1.18379x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=66 frame=21.8264 sim=0.2787 route=0.0118 render=1.2919 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=40 frame=21.0399 sim=0 route=0 render=1.6578 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3 frame=20.873 sim=0.2324 route=0.0081 render=6.8726 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=281 frame=20.7093 sim=0.6659 route=0.0084 render=9.5131 simTicks=1 resim=0 | cmd=0.004 move=0.0116 vis=0.0521 econ=0.0065 combat=0.2649 route=0.0661 coll=0.0621 (field=0 x0 prewarm=0.0022 x0) | botsP0=4 botsP1=3 stalled=0
tick=481 frame=20.6649 sim=0.5838 route=0.0075 render=5.6728 simTicks=1 resim=1 | cmd=0.0225 move=0.0425 vis=0.0698 econ=0.0144 combat=0.5492 route=0.121 coll=0.0952 (field=0 x0 prewarm=0.0055 x0) | botsP0=4 botsP1=3 stalled=0
tick=161 frame=20.6552 sim=0.7197 route=0.0081 render=11.3829 simTicks=1 resim=0 | cmd=0.0043 move=0.0147 vis=0.0538 econ=0.0069 combat=0.3043 route=0.0727 coll=0.0543 (field=0 x0 prewarm=0.0022 x0) | botsP0=4 botsP1=3 stalled=0
tick=201 frame=20.5469 sim=0.6125 route=0.0071 render=9.8242 simTicks=1 resim=0 | cmd=0.0038 move=0.011 vis=0.0443 econ=0.0074 combat=0.2433 route=0.0623 coll=0.0469 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=241 frame=20.4904 sim=0.7125 route=0.0075 render=10.8047 simTicks=1 resim=0 | cmd=0.0038 move=0.0118 vis=0.0574 econ=0.0086 combat=0.2792 route=0.0635 coll=0.0576 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=80 frame=20.4902 sim=0 route=0 render=6.4155 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=321 frame=20.4791 sim=0.5821 route=0.0087 render=4.005 simTicks=1 resim=1 | cmd=0.0112 move=0.0314 vis=0.1022 econ=0.0169 combat=0.5089 route=0.1361 coll=0.0931 (field=0 x0 prewarm=0.0072 x0) | botsP0=4 botsP1=3 stalled=0
tick=401 frame=20.3119 sim=0.6915 route=0.0119 render=10.7086 simTicks=1 resim=0 | cmd=0.0048 move=0.013 vis=0.0536 econ=0.0065 combat=0.2612 route=0.0709 coll=0.0589 (field=0 x0 prewarm=0.0049 x0) | botsP0=4 botsP1=3 stalled=0
