FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=158 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=158 frame=126.483 sim=4.3911 route=0.0396 render=1.519 simTicks=7 resim=0 | cmd=0.0211 move=0.0795 vis=0.2747 econ=0.0442 combat=1.9296 route=0.5802 coll=0.2996 (field=0 x0 prewarm=0.0195 x0) | botsP0=3 botsP1=3 stalled=0
tick=26 frame=26.9593 sim=0.1842 route=0.0079 render=1.1149 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=80 frame=26.7351 sim=0.2204 route=0.01 render=2.1467 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=4 frame=26.5095 sim=0.1767 route=0.0073 render=1.092 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=107 frame=26.4129 sim=0.1818 route=0.0069 render=1.4919 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=142 frame=26.2987 sim=0.6616 route=0.0071 render=1.3813 simTicks=1 resim=0 | cmd=0.0043 move=0.0121 vis=0.0521 econ=0.0058 combat=0.2688 route=0.0628 coll=0.0443 (field=0 x0 prewarm=0.0031 x0) | botsP0=3 botsP1=3 stalled=0
tick=128 frame=26.1445 sim=0.651 route=0.0071 render=1.3981 simTicks=1 resim=0 | cmd=0.0034 move=0.0114 vis=0.0556 econ=0.0055 combat=0.3285 route=0.0517 coll=0.0432 (field=0 x0 prewarm=0.0042 x0) | botsP0=3 botsP1=3 stalled=0
tick=54 frame=26.1048 sim=0.1787 route=0.0097 render=1.5563 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=65 frame=26.048 sim=0.1997 route=0.0062 render=1.1534 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=68 frame=26.031 sim=0.1997 route=0.0068 render=1.4776 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=144 frame=25.9601 sim=0.6636 route=0.0072 render=1.5637 simTicks=1 resim=0 | cmd=0.0063 move=0.014 vis=0.0636 econ=0.006 combat=0.2972 route=0.0592 coll=0.0457 (field=0 x0 prewarm=0.003 x0) | botsP0=3 botsP1=3 stalled=0
tick=52 frame=25.9507 sim=0.1694 route=0.0077 render=1.4269 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
