FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=3649 resimTicks=41 amplification=1.01124x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=123 frame=28.0578 sim=0.8926 route=0.0085 render=1.1159 simTicks=1 resim=0 | cmd=0.0094 move=0.0194 vis=0.0663 econ=0.0073 combat=0.3287 route=0.0894 coll=0.0798 (field=0 x0 prewarm=0.0029 x0) | botsP0=4 botsP1=3 stalled=0
tick=2008 frame=26.3239 sim=0.9312 route=0.01 render=1.7265 simTicks=1 resim=0 | cmd=0.0119 move=0.0308 vis=0.0652 econ=0.0111 combat=0.3284 route=0.0657 coll=0.068 (field=0 x0 prewarm=0.0034 x0) | botsP0=4 botsP1=3 stalled=0
tick=2 frame=22.9673 sim=0.2655 route=0.008 render=15.2373 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=0 frame=22.3806 sim=0 route=0 render=12.3407 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1552 frame=21.6501 sim=1.1614 route=0.009 render=1.8784 simTicks=1 resim=0 | cmd=0.0129 move=0.0206 vis=0.2436 econ=0.0502 combat=0.4322 route=0.0802 coll=0.0899 (field=0 x0 prewarm=0.0033 x0) | botsP0=4 botsP1=3 stalled=0
tick=386 frame=21.4523 sim=0.884 route=0.0117 render=1.0814 simTicks=1 resim=0 | cmd=0.02 move=0.0303 vis=0.0817 econ=0.0123 combat=0.3631 route=0.0666 coll=0.0609 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=161 frame=21.2961 sim=0.7523 route=0.0078 render=1.0854 simTicks=1 resim=0 | cmd=0.0071 move=0.0162 vis=0.0556 econ=0.0071 combat=0.3201 route=0.0588 coll=0.053 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=241 frame=21.1121 sim=0.7495 route=0.0083 render=1.0784 simTicks=1 resim=0 | cmd=0.0091 move=0.0206 vis=0.0556 econ=0.0073 combat=0.3344 route=0.0559 coll=0.0513 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=360 frame=21.0579 sim=0 route=0 render=1.9637 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=201 frame=20.892 sim=0.7631 route=0.0072 render=1.1806 simTicks=1 resim=0 | cmd=0.0067 move=0.0157 vis=0.0598 econ=0.0071 combat=0.3167 route=0.0644 coll=0.0499 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=480 frame=20.8752 sim=0 route=0 render=2.6084 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
