FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=720 resimTicks=560 amplification=1.77778x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=481 frame=21.8664 sim=0.686 route=0.0085 render=1.142 simTicks=1 resim=4 | cmd=0.0266 move=0.0796 vis=0.1887 econ=0.0457 combat=1.5264 route=0.2914 coll=0.2427 (field=0 x0 prewarm=0.014 x0) | botsP0=3 botsP1=4 stalled=0
tick=241 frame=21.7186 sim=0.7232 route=0.0073 render=5.4003 simTicks=1 resim=0 | cmd=0.0061 move=0.0148 vis=0.0465 econ=0.01 combat=0.2981 route=0.054 coll=0.0526 (field=0 x0 prewarm=0.0026 x0) | botsP0=3 botsP1=4 stalled=0
tick=201 frame=21.5192 sim=0.684 route=0.0068 render=3.2849 simTicks=1 resim=0 | cmd=0.0055 move=0.0139 vis=0.0566 econ=0.0076 combat=0.3066 route=0.0555 coll=0.0469 (field=0 x0 prewarm=0.0029 x0) | botsP0=3 botsP1=4 stalled=0
tick=80 frame=21.2442 sim=0 route=0 render=3.4471 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
tick=160 frame=21.1147 sim=0 route=0 render=1.4652 simTicks=0 resim=4 | cmd=0.0156 move=0.0514 vis=0.2401 econ=0.0365 combat=1.1725 route=0.203 coll=0.1989 (field=0 x0 prewarm=0.0107 x0) | botsP0=3 botsP1=4 stalled=0
tick=40 frame=21.0387 sim=0 route=0 render=3.0907 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
tick=18 frame=20.7898 sim=0.2191 route=0.0062 render=2.9306 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
tick=401 frame=20.751 sim=0.7055 route=0.0063 render=4.245 simTicks=1 resim=0 | cmd=0.0056 move=0.0149 vis=0.0549 econ=0.0079 combat=0.308 route=0.0591 coll=0.0488 (field=0 x0 prewarm=0.0031 x0) | botsP0=3 botsP1=4 stalled=0
tick=280 frame=20.6195 sim=0 route=0 render=1.056 simTicks=0 resim=4 | cmd=0.0145 move=0.0713 vis=0.1593 econ=0.0332 combat=1.1522 route=0.2228 coll=0.2058 (field=0 x0 prewarm=0.0254 x0) | botsP0=3 botsP1=4 stalled=0
tick=113 frame=20.5344 sim=0.2426 route=0.007 render=3.6824 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
tick=35 frame=20.5049 sim=0.2211 route=0.0058 render=3.1214 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
