FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=633 resimTicks=35 amplification=1.05529x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=2 frame=23.164 sim=0.2559 route=0.0113 render=7.1765 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=612 frame=22.7388 sim=0.7889 route=0.0112 render=1.3169 simTicks=1 resim=0 | cmd=0.0079 move=0.0158 vis=0.0576 econ=0.0118 combat=0.3314 route=0.0687 coll=0.0585 (field=0 x0 prewarm=0.0051 x0) | botsP0=3 botsP1=3 stalled=0
tick=4 frame=20.8844 sim=0.2614 route=0.0089 render=3.7384 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=633 frame=20.8222 sim=0 route=0 render=2.8473 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=1
tick=241 frame=20.699 sim=0.8622 route=0.0085 render=5.6424 simTicks=1 resim=0 | cmd=0.0059 move=0.0155 vis=0.0561 econ=0.0108 combat=0.3246 route=0.085 coll=0.064 (field=0 x0 prewarm=0.0034 x0) | botsP0=3 botsP1=3 stalled=0
tick=281 frame=20.5672 sim=0.7698 route=0.0077 render=9.0332 simTicks=1 resim=0 | cmd=0.004 move=0.0127 vis=0.0574 econ=0.012 combat=0.3222 route=0.0937 coll=0.0585 (field=0 x0 prewarm=0.002 x0) | botsP0=3 botsP1=3 stalled=0
tick=16 frame=20.5493 sim=0.2676 route=0.0074 render=3.4751 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=41 frame=20.5288 sim=0.3254 route=0.0075 render=8.0221 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=480 frame=20.484 sim=0 route=0 render=10.9573 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=321 frame=20.4421 sim=0.9048 route=0.0099 render=4.3783 simTicks=1 resim=0 | cmd=0.0081 move=0.0183 vis=0.0571 econ=0.0072 combat=0.4229 route=0.078 coll=0.0627 (field=0 x0 prewarm=0.0034 x0) | botsP0=3 botsP1=3 stalled=0
tick=81 frame=20.4202 sim=0.2502 route=0.0073 render=6.3669 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=201 frame=20.341 sim=0.8048 route=0.0071 render=7.6138 simTicks=1 resim=0 | cmd=0.0045 move=0.014 vis=0.0694 econ=0.0132 combat=0.3371 route=0.0661 coll=0.0818 (field=0 x0 prewarm=0.0023 x0) | botsP0=3 botsP1=3 stalled=0
tick=633 frame=20.3266 sim=0 route=0 render=2.9081 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=1
tick=161 frame=20.2384 sim=0.7704 route=0.007 render=6.0853 simTicks=1 resim=0 | cmd=0.0043 move=0.0145 vis=0.0521 econ=0.0097 combat=0.3187 route=0.0729 coll=0.0638 (field=0 x0 prewarm=0.0073 x0) | botsP0=3 botsP1=3 stalled=0
tick=400 frame=20.1946 sim=0 route=0 render=4.332 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=0 frame=18.8297 sim=0 route=0 render=18.246 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=1 frame=18.2952 sim=0.2107 route=0.0266 render=22.8761 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=3 frame=11.0862 sim=0.2567 route=0.0148 render=1.9232 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=481 frame=11.0505 sim=0.7263 route=0.0072 render=1.5536 simTicks=1 resim=0 | cmd=0.0035 move=0.0139 vis=0.0631 econ=0.0073 combat=0.3164 route=0.067 coll=0.0565 (field=0 x0 prewarm=0.0051 x0) | botsP0=3 botsP1=3 stalled=0
tick=201 frame=10.5626 sim=0 route=0 render=5.508 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=518 frame=10.4314 sim=0.7022 route=0.0076 render=6.0465 simTicks=1 resim=0 | cmd=0.0044 move=0.0152 vis=0.065 econ=0.0074 combat=0.3174 route=0.0644 coll=0.0601 (field=0 x0 prewarm=0.0035 x0) | botsP0=3 botsP1=3 stalled=0
tick=32 frame=10.3988 sim=0.2335 route=0.0076 render=5.9793 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=578 frame=10.2929 sim=0 route=0 render=3.3497 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=281 frame=9.9452 sim=0 route=0 render=7.4145 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=162 frame=9.7614 sim=0.6912 route=0.0101 render=1.8163 simTicks=1 resim=0 | cmd=0.0044 move=0.013 vis=0.058 econ=0.0073 combat=0.2944 route=0.0669 coll=0.0674 (field=0 x0 prewarm=0.0023 x0) | botsP0=3 botsP1=3 stalled=0
tick=241 frame=9.5838 sim=0 route=0 render=4.9463 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=121 frame=9.1969 sim=0 route=0 render=4.7873 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=201 frame=8.5206 sim=0 route=0 render=10.4606 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=41 frame=8.4514 sim=0 route=0 render=3.4203 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=401 frame=8.4472 sim=0 route=0 render=2.6565 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=409 frame=8.2611 sim=0 route=0 render=5.7021 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=289 frame=8.0432 sim=0 route=0 render=5.9428 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=161 frame=7.9192 sim=0 route=0 render=9.6876 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=620 frame=7.8819 sim=0 route=0 render=5.8356 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=530 frame=7.877 sim=0.737 route=0.0097 render=5.8391 simTicks=1 resim=0 | cmd=0.0034 move=0.0126 vis=0.0633 econ=0.0071 combat=0.3059 route=0.059 coll=0.0584 (field=0 x0 prewarm=0.0021 x0) | botsP0=3 botsP1=3 stalled=0
tick=169 frame=7.84 sim=0 route=0 render=6.1125 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=49 frame=7.8297 sim=0 route=0 render=6.2991 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=28 frame=7.8206 sim=0.3609 route=0.0101 render=5.3411 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=633 frame=7.7918 sim=0 route=0 render=19.8243 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=1
tick=617 frame=7.6508 sim=0 route=0 render=6.164 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=12 frame=7.5992 sim=0 route=0 render=6.5 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=402 frame=7.5633 sim=1.4376 route=0.0131 render=4.5832 simTicks=1 resim=0 | cmd=0.0101 move=0.0187 vis=0.0858 econ=0.0082 combat=0.814 route=0.0922 coll=0.0689 (field=0 x0 prewarm=0.0022 x0) | botsP0=3 botsP1=3 stalled=0
tick=619 frame=7.5614 sim=0 route=0 render=6.1611 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=23 frame=7.5354 sim=0 route=0 render=6.7417 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=281 frame=7.5273 sim=0 route=0 render=2.6762 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=628 frame=7.5268 sim=0 route=0 render=6.2103 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=2 frame=7.5221 sim=0 route=0 render=11.0261 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
