FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=3602 resimTicks=1250 amplification=1.34703x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=3290 frame=250 sim=234.191 route=1.2428 render=4.0515 simTicks=17 resim=24 | cmd=0.1378 move=0.8517 vis=10.4819 econ=0.447 combat=98.8618 route=391.225 coll=11.05 (field=0.49 x1578 prewarm=381.726 x160) | botsP0=136 botsP1=122 stalled=1
tick=3427 frame=250 sim=735.36 route=2.349 render=2.4803 simTicks=36 resim=24 | cmd=0.1987 move=1.0832 vis=13.6555 econ=0.6692 combat=145.066 route=666.807 coll=16.2617 (field=0.4677 x1437 prewarm=654.716 x295) | botsP0=125 botsP1=105 stalled=1
tick=3308 frame=250 sim=177.724 route=1.021 render=2.5997 simTicks=18 resim=24 | cmd=0.135 move=0.7398 vis=10.285 econ=0.4525 combat=132.29 route=157.862 coll=10.2732 (field=0.252 x1610 prewarm=150.1 x57) | botsP0=134 botsP1=118 stalled=1
tick=3326 frame=250 sim=91.852 route=0.9061 render=2.7025 simTicks=18 resim=24 | cmd=0.1272 move=0.9266 vis=10.2316 econ=0.4391 combat=117.962 route=116.832 coll=9.93 (field=0.375 x1509 prewarm=109.787 x42) | botsP0=133 botsP1=117 stalled=1
tick=3193 frame=250 sim=694.261 route=0.9315 render=4.2155 simTicks=16 resim=24 | cmd=0.1495 move=0.7677 vis=11.1761 econ=0.4085 combat=147.558 route=907.201 coll=10.5921 (field=0.5178 x2035 prewarm=896.855 x338) | botsP0=148 botsP1=132 stalled=1
tick=3361 frame=250 sim=94.8541 route=0.8599 render=2.8356 simTicks=18 resim=24 | cmd=0.1508 move=0.773 vis=9.6684 econ=0.4392 combat=100.467 route=92.1331 coll=9.5408 (field=0.6081 x1569 prewarm=85.3769 x32) | botsP0=130 botsP1=113 stalled=1
tick=3476 frame=250 sim=203.296 route=1.265 render=3.3078 simTicks=19 resim=24 | cmd=0.1377 move=0.7752 vis=9.3371 econ=0.4584 combat=99.0583 route=217.993 coll=9.3269 (field=0.3294 x1412 prewarm=210.926 x88) | botsP0=119 botsP1=101 stalled=1
tick=3101 frame=250 sim=0 route=0 render=10.8283 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=153 botsP1=137 stalled=1
tick=3602 frame=250 sim=114.58 route=0.8434 render=3.694 simTicks=14 resim=24 | cmd=0.1229 move=0.6495 vis=7.0081 econ=0.4066 combat=103.188 route=157.283 coll=6.6594 (field=0.2714 x1330 prewarm=150.96 x56) | botsP0=106 botsP1=87 stalled=1
tick=3101 frame=250 sim=14.4301 route=0.0493 render=4.7575 simTicks=1 resim=24 | cmd=0.1252 move=0.4658 vis=8.6002 econ=0.25 combat=107.919 route=171.479 coll=7.3927 (field=0.1919 x1337 prewarm=164.165 x55) | botsP0=153 botsP1=137 stalled=1
tick=3457 frame=250 sim=423.342 route=1.2346 render=2.8911 simTicks=18 resim=24 | cmd=0.1416 move=0.7352 vis=9.3455 econ=0.4725 combat=115.02 route=592.652 coll=10.2995 (field=0.364 x1445 prewarm=584.204 x250) | botsP0=121 botsP1=102 stalled=1
