patch visPatch=2.27 sum=17.73 folded=1 | free=0.02 base=0.97 [add=7.98 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.34 cut=0.14 | dirty=6/287
patch visPatch=2.10 sum=17.46 folded=1 | free=0.03 base=0.91 [add=7.60 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.31 cut=0.16 | dirty=6/287
patch visPatch=2.15 sum=18.72 folded=1 | free=0.03 base=0.97 [add=8.25 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.29 cut=0.14 | dirty=6/287
patch visPatch=2.03 sum=16.99 folded=1 | free=0.03 base=0.95 [add=7.57 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.28 cut=0.13 | dirty=6/287
patch visPatch=2.12 sum=17.92 folded=1 | free=0.03 base=0.86 [add=7.15 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.24 cut=0.11 | dirty=6/287
patch visPatch=2.69 sum=22.99 folded=1 | free=0.11 base=1.22 [add=9.98 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.27 cut=0.10 | dirty=6/287
patch visPatch=2.33 sum=19.51 folded=1 | free=0.05 base=0.92 [add=8.04 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.31 cut=0.20 | dirty=6/287
patch visPatch=2.18 sum=17.43 folded=1 | free=0.03 base=0.81 [add=6.88 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.24 cut=0.15 | dirty=6/287
patch visPatch=1.99 sum=16.69 folded=1 | free=0.06 base=0.71 [add=6.48 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.24 cut=0.23 | dirty=6/287
patch visPatch=2.93 sum=23.26 folded=1 | free=0.03 base=1.22 [add=8.86 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.37 cut=0.10 | dirty=6/287
patch visPatch=2.91 sum=25.28 folded=1 | free=0.03 base=1.25 [add=9.71 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.28 cut=0.17 | dirty=6/287
patch visPatch=2.46 sum=20.00 folded=1 | free=0.03 base=1.14 [add=8.68 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.30 cut=0.17 | dirty=6/287
patch visPatch=2.52 sum=21.84 folded=1 | free=0.03 base=1.16 [add=9.67 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.30 cut=0.16 | dirty=6/287
patch visPatch=2.31 sum=17.98 folded=1 | free=0.03 base=0.89 [add=6.87 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.29 cut=0.16 | dirty=6/287
patch visPatch=2.27 sum=18.80 folded=1 | free=0.02 base=0.86 [add=7.12 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.29 cut=0.11 | dirty=6/287
patch visPatch=2.40 sum=20.49 folded=1 | free=0.03 base=1.20 [add=9.33 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.28 cut=0.13 | dirty=6/287
patch visPatch=2.39 sum=20.63 folded=1 | free=0.08 base=1.13 [add=9.77 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.22 cut=0.16 | dirty=6/287
patch visPatch=1.51 sum=11.85 folded=1 | free=0.02 base=0.71 [add=5.02 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.19 cut=0.09 | dirty=6/287
patch visPatch=1.31 sum=11.83 folded=1 | free=0.04 base=0.65 [add=5.78 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.15 cut=0.07 | dirty=6/287
patch visPatch=1.88 sum=16.02 folded=1 | free=0.05 base=0.78 [add=6.27 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.28 cut=0.12 | dirty=7/287
patch visPatch=1.93 sum=15.87 folded=1 | free=0.05 base=0.84 [add=6.63 rem=0.00 (gather=0.00 unbury=0.00[scan=0.00 connect=0.00] cross=0.00)] tang=0.29 cut=0.19 | dirty=7/287
patch visPatch=2.31 sum=19.91 folded=1 | free=0.04 base=0.81 [add=0.00 rem=4.89 (gather=0.06 unbury=0.72[scan=0.25 connect=0.47] cross=0.03)] tang=0.28 cut=0.15 | dirty=6/287
patch visPatch=2.46 sum=21.38 folded=1 | free=0.03 base=1.19 [add=0.00 rem=5.08 (gather=0.40 unbury=0.74[scan=0.17 connect=0.57] cross=0.06)] tang=0.29 cut=0.15 | dirty=6/287
patch visPatch=1.69 sum=15.29 folded=1 | free=0.05 base=0.52 [add=0.00 rem=3.94 (gather=0.04 unbury=0.46[scan=0.23 connect=0.25] cross=0.01)] tang=0.30 cut=0.22 | dirty=6/287
patch visPatch=1.82 sum=16.56 folded=1 | free=0.04 base=0.63 [add=0.00 rem=4.00 (gather=0.06 unbury=0.56[scan=0.22 connect=0.34] cross=0.01)] tang=0.30 cut=0.20 | dirty=6/287
patch visPatch=2.01 sum=17.77 folded=1 | free=0.03 base=0.67 [add=0.00 rem=4.51 (gather=0.04 unbury=0.61[scan=0.22 connect=0.39] cross=0.01)] tang=0.29 cut=0.16 | dirty=6/287
patch visPatch=2.15 sum=18.89 folded=1 | free=0.03 base=0.74 [add=0.00 rem=5.06 (gather=0.07 unbury=0.68[scan=0.30 connect=0.40] cross=0.01)] tang=0.32 cut=0.16 | dirty=6/287
patch visPatch=1.68 sum=14.58 folded=1 | free=0.03 base=0.48 [add=0.00 rem=4.07 (gather=0.04 unbury=0.40[scan=0.22 connect=0.17] cross=0.04)] tang=0.29 cut=0.18 | dirty=6/287
patch visPatch=1.74 sum=15.61 folded=1 | free=0.03 base=0.51 [add=0.00 rem=4.72 (gather=0.05 unbury=0.39[scan=0.23 connect=0.19] cross=0.23)] tang=0.29 cut=0.14 | dirty=6/287
patch visPatch=1.78 sum=15.92 folded=1 | free=0.03 base=0.66 [add=0.00 rem=3.80 (gather=0.05 unbury=0.53[scan=0.20 connect=0.32] cross=0.07)] tang=0.25 cut=0.14 | dirty=6/287
patch visPatch=1.84 sum=15.89 folded=1 | free=0.03 base=0.69 [add=0.00 rem=3.63 (gather=0.05 unbury=0.54[scan=0.23 connect=0.31] cross=0.09)] tang=0.27 cut=0.15 | dirty=6/287
patch visPatch=1.91 sum=16.82 folded=1 | free=0.05 base=0.59 [add=0.00 rem=3.82 (gather=0.05 unbury=0.52[scan=0.21 connect=0.29] cross=0.01)] tang=0.28 cut=0.20 | dirty=6/287
patch visPatch=1.74 sum=14.34 folded=1 | free=0.03 base=0.50 [add=0.00 rem=3.12 (gather=0.03 unbury=0.45[scan=0.18 connect=0.27] cross=0.01)] tang=0.41 cut=0.13 | dirty=6/287
patch visPatch=1.49 sum=13.54 folded=1 | free=0.03 base=0.56 [add=0.00 rem=3.23 (gather=0.06 unbury=0.43[scan=0.24 connect=0.18] cross=0.07)] tang=0.28 cut=0.14 | dirty=6/287
patch visPatch=1.57 sum=13.15 folded=1 | free=0.03 base=0.57 [add=0.00 rem=2.99 (gather=0.05 unbury=0.43[scan=0.21 connect=0.22] cross=0.08)] tang=0.20 cut=0.27 | dirty=6/287
patch visPatch=1.80 sum=15.37 folded=1 | free=0.06 base=0.74 [add=0.00 rem=3.08 (gather=0.04 unbury=0.68[scan=0.21 connect=0.47] cross=0.01)] tang=0.21 cut=0.10 | dirty=6/287
patch visPatch=1.52 sum=13.86 folded=1 | free=0.03 base=0.77 [add=0.00 rem=2.70 (gather=0.10 unbury=0.64[scan=0.15 connect=0.49] cross=0.03)] tang=0.20 cut=0.06 | dirty=6/287
patch visPatch=1.75 sum=15.50 folded=1 | free=0.04 base=0.49 [add=0.00 rem=3.82 (gather=0.04 unbury=0.41[scan=0.31 connect=0.10] cross=0.03)] tang=0.26 cut=0.12 | dirty=6/287
patch visPatch=1.51 sum=12.59 folded=1 | free=0.07 base=0.31 [add=0.00 rem=2.05 (gather=0.03 unbury=0.26[scan=0.17 connect=0.09] cross=0.01)] tang=0.28 cut=0.13 | dirty=6/287
patch visPatch=1.37 sum=12.00 folded=1 | free=0.03 base=0.33 [add=0.00 rem=2.34 (gather=0.04 unbury=0.28[scan=0.18 connect=0.10] cross=0.01)] tang=0.28 cut=0.13 | dirty=6/287
patch visPatch=1.52 sum=11.93 folded=1 | free=0.04 base=0.36 [add=0.00 rem=2.40 (gather=0.04 unbury=0.30[scan=0.19 connect=0.11] cross=0.01)] tang=0.42 cut=0.08 | dirty=6/287
patch visPatch=2.84 sum=0.01 folded=1 | free=0.03 base=0.33 [add=0.00 rem=2.34 (gather=0.04 unbury=0.28[scan=0.18 connect=0.10] cross=0.01)] tang=0.28 cut=0.13 | dirty=6/287
