FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=4909 frame=250 sim=902.257 route=32.2608 render=4.5079 simTicks=30 resim=23 | cmd=0.2699 move=1.2197 vis=19.5668 econ=0.7965 combat=157.591 route=1151.61 coll=18.9818 (field=0.5591 x1516) | botsP0=133 botsP1=191 stalled=0
tick=4923 frame=250 sim=545.674 route=16.8201 render=3.5547 simTicks=14 resim=16 | cmd=0.2087 move=0.8149 vis=10.8731 econ=0.394 combat=105.11 route=970.513 coll=10.4677 (field=3.2646 x2080) | botsP0=132 botsP1=191 stalled=1
tick=4490 frame=250 sim=1017.22 route=52.5462 render=3.7113 simTicks=20 resim=24 | cmd=0.1785 move=0.9881 vis=17.4232 econ=0.5353 combat=151.078 route=1457.41 coll=17.0372 (field=0.5435 x1877) | botsP0=194 botsP1=194 stalled=1
tick=4779 frame=250 sim=208.208 route=3.517 render=3.3147 simTicks=4 resim=24 | cmd=0.192 move=0.8249 vis=11.7383 econ=0.3746 combat=97.615 route=1137.55 coll=9.4452 (field=0.7354 x2426) | botsP0=157 botsP1=191 stalled=1
tick=4923 frame=250 sim=0 route=0 render=12.6108 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=132 botsP1=191 stalled=1
tick=4800 frame=250 sim=953.515 route=19.2814 render=3.1977 simTicks=20 resim=24 | cmd=0.1725 move=0.8905 vis=16.3881 econ=0.5448 combat=142.311 route=1292.7 coll=14.7883 (field=0.6483 x2173) | botsP0=154 botsP1=191 stalled=1
tick=4775 frame=250 sim=1005.89 route=22.0478 render=5.2843 simTicks=21 resim=24 | cmd=0.1712 move=1.0989 vis=17.1742 econ=0.5888 combat=151.151 route=1362.62 coll=14.4191 (field=0.7043 x2453) | botsP0=157 botsP1=191 stalled=1
tick=4668 frame=250 sim=1241.4 route=50.3898 render=6.1605 simTicks=33 resim=24 | cmd=0.2548 move=1.1636 vis=21.6757 econ=0.6495 combat=155.585 route=1485.77 coll=23.4014 (field=3.1685 x1872) | botsP0=167 botsP1=192 stalled=0
tick=4779 frame=250 sim=0 route=0 render=7.1754 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=157 botsP1=191 stalled=1
tick=4419 frame=250 sim=237.353 route=18.7265 render=6.4681 simTicks=9 resim=24 | cmd=0.3788 move=0.7729 vis=14.4861 econ=0.4167 combat=86.8648 route=439.784 coll=12.6399 (field=0.3769 x606) | botsP0=206 botsP1=195 stalled=1
tick=4586 frame=250 sim=320.668 route=13.6065 render=3.7873 simTicks=7 resim=24 | cmd=0.1469 move=0.7722 vis=11.9953 econ=0.3557 combat=72.5027 route=1285.16 coll=16.2587 (field=5.9533 x2079) | botsP0=178 botsP1=194 stalled=1
tick=4731 frame=250 sim=371.137 route=9.7498 render=3.3182 simTicks=8 resim=24 | cmd=0.1395 move=0.7484 vis=12.1716 econ=0.3782 combat=89.7084 route=1222.2 coll=12.704 (field=6.3113 x2569) | botsP0=161 botsP1=192 stalled=1
tick=4380 frame=250 sim=293.103 route=6.1191 render=3.7641 simTicks=18 resim=24 | cmd=0.2103 move=0.925 vis=20.7005 econ=0.4939 combat=102.151 route=295.654 coll=15.7126 (field=0.1252 x312) | botsP0=210 botsP1=195 stalled=1
tick=4875 frame=250 sim=0 route=0 render=12.2655 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=137 botsP1=191 stalled=1
tick=4704 frame=250 sim=961.97 route=30.9678 render=6.2052 simTicks=21 resim=24 | cmd=0.1657 move=0.8975 vis=16.8548 econ=0.5133 combat=124.917 route=1489.93 coll=15.129 (field=0.6672 x2680) | botsP0=166 botsP1=192 stalled=1
tick=4634 frame=250 sim=0 route=0 render=7.8611 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=172 botsP1=193 stalled=1
tick=4490 frame=250 sim=0 route=0 render=7.606 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=194 botsP1=194 stalled=1
tick=4362 frame=248.141 sim=276.355 route=0.5488 render=8.3949 simTicks=12 resim=18 | cmd=0.5288 move=0.5987 vis=14.6638 econ=0.4002 combat=79.9486 route=240.455 coll=11.1499 (field=0.2055 x370) | botsP0=211 botsP1=195 stalled=1
tick=4350 frame=132.055 sim=209.942 route=0.3138 render=6.1594 simTicks=16 resim=8 | cmd=0.0748 move=0.4478 vis=13.8681 econ=0.4742 combat=69.3032 route=141.971 coll=7.7096 (field=0.1176 x338) | botsP0=211 botsP1=195 stalled=0
tick=298 frame=85.0478 sim=1.6493 route=0.0519 render=33.2704 simTicks=11 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=4334 frame=51.0105 sim=93.1578 route=0.2231 render=6.0759 simTicks=6 resim=9 | cmd=0.1534 move=0.3896 vis=7.9366 econ=0.193 combat=30.4124 route=75.0927 coll=5.5004 (field=0.0289 x119) | botsP0=211 botsP1=195 stalled=0
tick=4318 frame=49.1075 sim=14.0955 route=0.1123 render=4.6429 simTicks=6 resim=6 | cmd=0.0421 move=0.2195 vis=6.499 econ=0.1647 combat=20.0402 route=2.8751 coll=3.8269 (field=0.0228 x86) | botsP0=211 botsP1=195 stalled=0
tick=4312 frame=43.0435 sim=23.1117 route=0.0889 render=4.8073 simTicks=5 resim=5 | cmd=0.0351 move=0.2075 vis=5.7787 econ=0.1755 combat=23.1991 route=7.7021 coll=3.2009 (field=0.0124 x74) | botsP0=211 botsP1=195 stalled=0
tick=4323 frame=41.539 sim=11.581 route=0.0706 render=7.1233 simTicks=5 resim=7 | cmd=0.0372 move=0.2374 vis=6.4741 econ=0.1621 combat=14.0475 route=2.4478 coll=3.5966 (field=0.0205 x143) | botsP0=211 botsP1=195 stalled=0
tick=4307 frame=37.9833 sim=26.1313 route=0.0589 render=4.9533 simTicks=4 resim=3 | cmd=0.0215 move=0.1217 vis=3.9784 econ=0.108 combat=13.7661 route=12.8668 coll=2.2835 (field=0.0141 x68) | botsP0=211 botsP1=195 stalled=0
