FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=3749 resimTicks=1776 amplification=1.47373x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=3403 frame=250 sim=0 route=0 render=5.3741 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=127 botsP1=109 stalled=1
tick=3135 frame=250 sim=241.519 route=3.5614 render=3.6353 simTicks=26 resim=4 | cmd=0.1134 move=0.5462 vis=8.4811 econ=0.2879 combat=98.0928 route=131.653 coll=7.8392 (field=0.353 x654 prewarm=124.896 x44) | botsP0=152 botsP1=135 stalled=1
tick=3249 frame=250 sim=35.7163 route=0.6045 render=3.0952 simTicks=11 resim=0 | cmd=0.0326 move=0.1772 vis=2.7703 econ=0.1088 combat=15.0578 route=13.4801 coll=2.6993 (field=0.1677 x649 prewarm=11.2061 x4) | botsP0=142 botsP1=125 stalled=1
tick=3166 frame=250 sim=0 route=0 render=6.6652 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=150 botsP1=132 stalled=1
tick=3135 frame=250 sim=0 route=0 render=7.0335 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=152 botsP1=135 stalled=1
tick=3612 frame=250 sim=74.6248 route=0.6963 render=2.9178 simTicks=13 resim=24 | cmd=0.1249 move=0.7044 vis=7.3151 econ=0.4193 combat=100.68 route=95.8449 coll=7.1528 (field=0.414 x1083 prewarm=90.47 x34) | botsP0=105 botsP1=87 stalled=1
tick=3166 frame=250 sim=83.2448 route=0.6149 render=2.9654 simTicks=9 resim=24 | cmd=0.1023 move=0.5474 vis=8.9569 econ=0.3261 combat=127.137 route=130.954 coll=8.5735 (field=0.2077 x798 prewarm=124.607 x47) | botsP0=150 botsP1=132 stalled=1
tick=3725 frame=250 sim=80.4457 route=0.8872 render=2.9306 simTicks=16 resim=24 | cmd=0.1364 move=0.7499 vis=7.1863 econ=0.4388 combat=95.3682 route=89.9757 coll=7.0938 (field=0.3675 x836 prewarm=83.9889 x31) | botsP0=98 botsP1=78 stalled=1
tick=3749 frame=248.735 sim=0 route=0 render=5.4766 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=96 botsP1=75 stalled=1
tick=3530 frame=234.765 sim=66.7494 route=0.8776 render=2.8688 simTicks=16 resim=20 | cmd=0.1173 move=0.6489 vis=7.5257 econ=0.4005 combat=98.2817 route=73.7999 coll=7.3318 (field=0.4333 x1111 prewarm=68.2988 x26) | botsP0=115 botsP1=95 stalled=1
tick=3314 frame=231.86 sim=73.5687 route=0.774 render=2.8325 simTicks=12 resim=0 | cmd=0.0392 move=0.2161 vis=3.091 econ=0.1277 combat=33.9834 route=31.6715 coll=2.9287 (field=0.1806 x703 prewarm=29.3141 x11) | botsP0=134 botsP1=117 stalled=1
tick=3403 frame=225.346 sim=112.647 route=1.4328 render=3.1563 simTicks=23 resim=19 | cmd=0.1429 move=0.7573 vis=9.745 econ=0.4675 combat=100.238 route=121.958 coll=9.6763 (field=0.3002 x1304 prewarm=114.719 x43) | botsP0=127 botsP1=109 stalled=1
tick=3709 frame=224.397 sim=189.262 route=1.2311 render=3.1205 simTicks=22 resim=18 | cmd=0.138 move=0.7388 vis=7.4812 econ=0.4426 combat=124.869 route=141.543 coll=7.2087 (field=0.3051 x864 prewarm=136.364 x51) | botsP0=99 botsP1=78 stalled=1
tick=3612 frame=222.293 sim=0 route=0 render=6.0133 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=105 botsP1=87 stalled=1
