FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=3770 resimTicks=48 amplification=1.01273x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=3770 frame=24.3216 sim=0.8021 route=0.0137 render=2.0252 simTicks=1 resim=0 | cmd=0.0049 move=0.0135 vis=0.0749 econ=0.009 combat=0.3585 route=0.0595 coll=0.0752 (field=0 x0 prewarm=0.0031 x0) | botsP0=4 botsP1=3 stalled=0
tick=2008 frame=21.6878 sim=0.9732 route=0.0099 render=7.3308 simTicks=1 resim=0 | cmd=0.0156 move=0.02 vis=0.0749 econ=0.0077 combat=0.3518 route=0.0832 coll=0.0841 (field=0 x0 prewarm=0.0035 x0) | botsP0=4 botsP1=3 stalled=0
tick=1548 frame=21.3564 sim=0.8256 route=0.0102 render=1.4105 simTicks=1 resim=0 | cmd=0.0074 move=0.0152 vis=0.0809 econ=0.0078 combat=0.3251 route=0.069 coll=0.0717 (field=0 x0 prewarm=0.0028 x0) | botsP0=4 botsP1=3 stalled=0
tick=3 frame=20.9562 sim=0.3902 route=0.0119 render=2.9176 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=493 frame=20.9001 sim=0.7363 route=0.0081 render=2.9379 simTicks=1 resim=0 | cmd=0.0096 move=0.0185 vis=0.056 econ=0.0073 combat=0.3122 route=0.0724 coll=0.0559 (field=0 x0 prewarm=0.002 x0) | botsP0=4 botsP1=3 stalled=0
tick=400 frame=20.8874 sim=0 route=0 render=1.6121 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=280 frame=20.7547 sim=0 route=0 render=3.4232 simTicks=0 resim=1 | cmd=0.0077 move=0.0145 vis=0.0574 econ=0.0074 combat=0.3373 route=0.0662 coll=0.053 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=240 frame=20.7421 sim=0 route=0 render=5.2516 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=200 frame=20.7061 sim=0 route=0 render=4.5717 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=320 frame=20.7001 sim=0 route=0 render=5.1822 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=480 frame=20.6853 sim=0 route=0 render=3.7089 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=40 frame=20.6847 sim=0 route=0 render=2.0635 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=80 frame=20.6673 sim=0 route=0 render=1.9095 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=160 frame=20.6639 sim=0 route=0 render=4.472 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=390 frame=20.4403 sim=0.7985 route=0.0103 render=1.378 simTicks=1 resim=0 | cmd=0.0091 move=0.0167 vis=0.062 econ=0.0076 combat=0.3389 route=0.0762 coll=0.0524 (field=0 x0 prewarm=0.0029 x0) | botsP0=4 botsP1=3 stalled=0
tick=5 frame=20.3762 sim=0.2489 route=0.0089 render=3.1358 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=977 frame=20.089 sim=0.7122 route=0.0084 render=3.7093 simTicks=1 resim=0 | cmd=0.0064 move=0.0142 vis=0.0501 econ=0.0071 combat=0.3298 route=0.0499 coll=0.0556 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=427 frame=19.6801 sim=0.7313 route=0.0091 render=2.7846 simTicks=1 resim=0 | cmd=0.0029 move=0.0131 vis=0.0559 econ=0.0073 combat=0.2776 route=0.0544 coll=0.0518 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=122 frame=18.9777 sim=0.8299 route=0.0122 render=4.2544 simTicks=1 resim=0 | cmd=0.0079 move=0.0223 vis=0.0714 econ=0.0077 combat=0.3389 route=0.0884 coll=0.0604 (field=0 x0 prewarm=0.0051 x0) | botsP0=4 botsP1=3 stalled=0
tick=0 frame=15.5391 sim=0 route=0 render=6.5465 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1413 frame=15.4959 sim=0 route=0 render=3.1154 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1492 frame=14.9279 sim=0 route=0 render=2.642 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=119 frame=14.7741 sim=0.3319 route=0.0101 render=1.4989 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1334 frame=14.4548 sim=0 route=0 render=4.0827 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=669 frame=14.3807 sim=0 route=0 render=3.2987 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=941 frame=14.2375 sim=0 route=0 render=4.1152 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1416 frame=14.0464 sim=0 route=0 render=1.8329 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=672 frame=13.9861 sim=0 route=0 render=1.3851 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=678 frame=13.9498 sim=0 route=0 render=1.3781 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1422 frame=13.8502 sim=0 route=0 render=2.5226 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=769 frame=13.7156 sim=0 route=0 render=2.3663 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=670 frame=13.6147 sim=0 route=0 render=1.4142 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=717 frame=13.5887 sim=0 route=0 render=2.2632 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1414 frame=13.5856 sim=0 route=0 render=4.0864 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=942 frame=13.5703 sim=0 route=0 render=2.3661 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1419 frame=13.4141 sim=0 route=0 render=2.7082 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1500 frame=13.2345 sim=0 route=0 render=2.4513 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
