FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=6260 resimTicks=2312 amplification=1.36933x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=5736 frame=194.867 sim=103.351 route=0.164 render=4.0435 simTicks=22 resim=24 | cmd=0.2695 move=1.1192 vis=28.6079 econ=0.9834 combat=54.0289 route=112.976 coll=25.7475 (field=0.9779 x5003 prewarm=88.6218 x32) | botsP0=463 botsP1=2 stalled=1
tick=5992 frame=194.142 sim=74.9053 route=0.062 render=6.5093 simTicks=11 resim=24 | cmd=0.1378 move=0.717 vis=27.8419 econ=0.7318 combat=66.1578 route=110.155 coll=15.1987 (field=0.8241 x2684 prewarm=96.7369 x34) | botsP0=463 botsP1=0 stalled=1
tick=5902 frame=192.387 sim=24.7604 route=0.0938 render=3.5734 simTicks=12 resim=24 | cmd=0.3188 move=0.87 vis=24.498 econ=0.966 combat=47.408 route=129.478 coll=14.9684 (field=1.125 x3319 prewarm=115.482 x40) | botsP0=463 botsP1=1 stalled=1
tick=5684 frame=190.664 sim=234.309 route=0.1367 render=5.8809 simTicks=22 resim=24 | cmd=0.2257 move=1.4275 vis=30.8153 econ=1.3546 combat=68.6863 route=222.131 coll=25.9259 (field=1.659 x5551 prewarm=196.751 x73) | botsP0=463 botsP1=3 stalled=1
tick=6238 frame=190.512 sim=57.5138 route=0.0766 render=9.5586 simTicks=13 resim=24 | cmd=0.1297 move=0.8299 vis=28.6778 econ=0.8812 combat=62.0323 route=53.3823 coll=15.8921 (field=0.6902 x3733 prewarm=42.4868 x14) | botsP0=463 botsP1=0 stalled=1
tick=5981 frame=190.044 sim=71.9934 route=0.0808 render=3.8115 simTicks=13 resim=24 | cmd=0.1613 move=0.7986 vis=22.8837 econ=0.9966 combat=48.6974 route=95.0203 coll=14.8465 (field=0.7557 x2935 prewarm=79.1596 x27) | botsP0=463 botsP1=0 stalled=1
tick=5941 frame=187.911 sim=114.381 route=0.2449 render=3.6459 simTicks=13 resim=24 | cmd=0.2041 move=0.8932 vis=33.5207 econ=0.8362 combat=48.4192 route=89.5348 coll=16.9931 (field=0.7402 x3012 prewarm=77.2878 x25) | botsP0=463 botsP1=1 stalled=1
tick=6177 frame=184.968 sim=61.2929 route=0.0947 render=6.1318 simTicks=13 resim=24 | cmd=0.178 move=0.802 vis=24.9911 econ=0.7889 combat=51.8115 route=46.7551 coll=15.7917 (field=0.351 x2936 prewarm=36.1077 x13) | botsP0=463 botsP1=0 stalled=1
tick=5848 frame=183.848 sim=20.3445 route=0.0875 render=6.2918 simTicks=10 resim=24 | cmd=0.1635 move=0.7612 vis=21.416 econ=0.7636 combat=26.9093 route=13.6238 coll=17.4888 (field=0.299 x3744 prewarm=0.3812 x0) | botsP0=463 botsP1=2 stalled=1
tick=6250 frame=179.895 sim=20.0354 route=0.0897 render=3.703 simTicks=12 resim=24 | cmd=0.1581 move=0.809 vis=21.1238 econ=0.7185 combat=58.4095 route=29.3979 coll=15.4963 (field=0.8075 x4371 prewarm=21.5133 x8) | botsP0=463 botsP1=0 stalled=1
tick=5879 frame=178.786 sim=146.171 route=0.305 render=3.852 simTicks=21 resim=24 | cmd=0.2457 move=1.0531 vis=32.7711 econ=1.2241 combat=59.1202 route=151.296 coll=24.9094 (field=0.7477 x3564 prewarm=128.885 x47) | botsP0=463 botsP1=1 stalled=1
tick=5838 frame=173.927 sim=24.8906 route=0.0662 render=6.1357 simTicks=11 resim=24 | cmd=0.138 move=0.8103 vis=21.7085 econ=0.8399 combat=42.1197 route=86.466 coll=15.2543 (field=0.4427 x3760 prewarm=68.0826 x24) | botsP0=463 botsP1=2 stalled=1
tick=6124 frame=173.509 sim=58.8455 route=0.0611 render=3.8486 simTicks=10 resim=24 | cmd=0.145 move=0.8619 vis=23.4086 econ=0.7503 combat=59.4422 route=112.537 coll=14.9999 (field=0.9661 x3814 prewarm=96.8455 x36) | botsP0=463 botsP1=0 stalled=1
tick=6144 frame=158.516 sim=75.4708 route=0.0652 render=9.7804 simTicks=10 resim=24 | cmd=0.1259 move=0.6659 vis=19.4701 econ=0.6794 combat=59.7335 route=92.7259 coll=13.6337 (field=1.3247 x3735 prewarm=75.8218 x28) | botsP0=463 botsP1=0 stalled=1
