FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=6201 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=5679 frame=24.4438 sim=12.9205 route=0.2934 render=3.6018 simTicks=3 resim=0 | cmd=0.0102 move=0.058 vis=1.4657 econ=0.0638 combat=2.8876 route=6.5764 coll=1.3776 (field=0.002 x2 prewarm=5.3565 x2) | botsP0=463 botsP1=3 stalled=0
tick=5889 frame=23.9826 sim=10.9183 route=0.2652 render=3.606 simTicks=3 resim=0 | cmd=0.0094 move=0.0563 vis=1.5858 econ=0.0626 combat=6.9028 route=0.6866 coll=1.1345 (field=0 x0 prewarm=0.0147 x0) | botsP0=463 botsP1=1 stalled=0
tick=5715 frame=23.9212 sim=0 route=0 render=7.1818 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=463 botsP1=3 stalled=1
tick=5804 frame=23.7008 sim=10.4097 route=0.285 render=4.2308 simTicks=2 resim=0 | cmd=0.0072 move=0.0414 vis=1.0571 econ=0.0401 combat=4.5244 route=3.4179 coll=0.8733 (field=0.0023 x1 prewarm=2.8079 x1) | botsP0=463 botsP1=2 stalled=1
tick=6176 frame=23.6515 sim=4.888 route=0.2436 render=3.726 simTicks=3 resim=0 | cmd=0.0093 move=0.0565 vis=1.5729 econ=0.0756 combat=0.9676 route=0.5649 coll=1.1512 (field=0 x0 prewarm=0.0115 x0) | botsP0=463 botsP1=0 stalled=0
tick=6165 frame=23.4183 sim=5.2008 route=0.1709 render=3.439 simTicks=2 resim=0 | cmd=0.0082 move=0.0461 vis=1.033 econ=0.0371 combat=2.5867 route=0.3613 coll=0.7754 (field=0 x0 prewarm=0.0091 x0) | botsP0=463 botsP1=0 stalled=0
tick=5866 frame=23.2682 sim=12.0029 route=0.4108 render=4.1739 simTicks=3 resim=0 | cmd=0.0103 move=0.0587 vis=1.7311 econ=0.0798 combat=7.2907 route=0.8893 coll=1.305 (field=0 x0 prewarm=0.0141 x0) | botsP0=463 botsP1=1 stalled=0
tick=6138 frame=22.598 sim=13.7874 route=0.3361 render=3.5322 simTicks=3 resim=0 | cmd=0.0095 move=0.0592 vis=1.5015 econ=0.0596 combat=4.7028 route=5.8136 coll=1.1671 (field=0.0121 x133 prewarm=5.3399 x2) | botsP0=463 botsP1=0 stalled=0
tick=6120 frame=22.2787 sim=6.6242 route=0.9998 render=3.6338 simTicks=3 resim=0 | cmd=0.0093 move=0.0556 vis=1.5342 econ=0.0544 combat=2.8149 route=0.5569 coll=1.1105 (field=0 x0 prewarm=0.0122 x0) | botsP0=463 botsP1=0 stalled=0
tick=4489 frame=22.165 sim=6.9065 route=0.9172 render=4.2704 simTicks=3 resim=0 | cmd=0.0127 move=0.1047 vis=1.6369 econ=0.0315 combat=0.9792 route=1.0546 coll=1.64 (field=0.0558 x965 prewarm=0.0317 x0) | botsP0=463 botsP1=3 stalled=0
