FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=649 resimTicks=84 amplification=1.12943x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=161 frame=8.684 sim=0 route=0 render=10.2826 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=4 frame=8.6499 sim=0.3711 route=0.0152 render=10.2512 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=41 frame=8.5136 sim=0.2798 route=0.0091 render=3.3964 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=401 frame=8.4976 sim=0 route=0 render=10.545 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=289 frame=8.0646 sim=0 route=0 render=6.2473 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=49 frame=7.9125 sim=0 route=0 render=6.1539 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=169 frame=7.8548 sim=0 route=0 render=6.2595 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=530 frame=7.7864 sim=0.8688 route=0.0086 render=5.36 simTicks=1 resim=0 | cmd=0.0124 move=0.0203 vis=0.0578 econ=0.0071 combat=0.4017 route=0.0763 coll=0.0592 (field=0 x0 prewarm=0.0039 x0) | botsP0=4 botsP1=3 stalled=0
tick=409 frame=7.7762 sim=0 route=0 render=6.1541 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=646 frame=7.7018 sim=0 route=0 render=10.4291 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
