FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=412 frame=250 sim=16.7154 route=0.1347 render=1.7156 simTicks=30 resim=0 | cmd=0.0864 move=0.5264 vis=0.4991 econ=0.1787 combat=7.7705 route=1.4136 coll=1.6115 | botsP0=3 botsP1=3 stalled=0
tick=4675 frame=94.8631 sim=0 route=0 render=4.1763 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=122 botsP1=39 stalled=0
tick=4540 frame=93.4723 sim=44.4996 route=1.5568 render=1.9048 simTicks=15 resim=4 | cmd=0.1045 move=0.3834 vis=3.5766 econ=0.1616 combat=31.5482 route=13.0439 coll=4.5191 | botsP0=123 botsP1=41 stalled=0
tick=4525 frame=84.2434 sim=59.2286 route=1.1101 render=2.1271 simTicks=15 resim=6 | cmd=0.1007 move=1.3672 vis=4.2971 econ=0.1611 combat=54.6459 route=19.0608 coll=5.3494 | botsP0=123 botsP1=41 stalled=0
tick=4710 frame=79.5581 sim=24.7762 route=1.1165 render=2.4863 simTicks=13 resim=0 | cmd=0.0326 move=0.2432 vis=2.1662 econ=0.0989 combat=5.9215 route=10.723 coll=3.728 | botsP0=122 botsP1=38 stalled=0
tick=4675 frame=65.2813 sim=11.6696 route=0.204 render=2.0131 simTicks=3 resim=0 | cmd=0.0087 move=0.0582 vis=0.5213 econ=0.024 combat=8.4077 route=1.4155 coll=0.7811 | botsP0=122 botsP1=39 stalled=0
tick=4547 frame=62.1514 sim=9.2264 route=0.3502 render=2.2266 simTicks=7 resim=8 | cmd=0.0449 move=0.2895 vis=2.6635 econ=0.112 combat=4.2814 route=6.5243 coll=4.6145 | botsP0=123 botsP1=41 stalled=0
tick=4672 frame=55.059 sim=61.842 route=0.4604 render=2.1409 simTicks=6 resim=0 | cmd=0.0176 move=0.1158 vis=1.048 econ=0.048 combat=28.286 route=29.9184 coll=1.558 | botsP0=122 botsP1=39 stalled=0
tick=4744 frame=50.3477 sim=34.9188 route=0.6637 render=2.5081 simTicks=10 resim=0 | cmd=0.0279 move=0.1938 vis=1.5758 econ=0.0787 combat=12.5112 route=16.0914 coll=2.8686 | botsP0=122 botsP1=38 stalled=0
tick=4643 frame=42.869 sim=14.081 route=0.485 render=2.4453 simTicks=9 resim=0 | cmd=0.0227 move=0.1757 vis=1.6024 econ=0.0679 combat=2.3184 route=6.4106 coll=2.3381 | botsP0=123 botsP1=40 stalled=0
tick=4666 frame=40.3814 sim=51.2733 route=0.4317 render=2.468 simTicks=7 resim=0 | cmd=0.018 move=0.1313 vis=1.2146 econ=0.053 combat=16.3918 route=30.4806 coll=1.9854 | botsP0=122 botsP1=39 stalled=0
