FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=5139 frame=250 sim=691.022 route=0.9822 render=3.8385 simTicks=13 resim=24 | cmd=0.1482 move=0.6924 vis=11.1325 econ=0.3689 combat=145.351 route=1224.08 coll=18.7747 | botsP0=171 botsP1=141 stalled=1
tick=5348 frame=250 sim=0 route=0 render=4.2859 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=154 botsP1=124 stalled=1
tick=5248 frame=250 sim=0 route=0 render=6.5658 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=164 botsP1=132 stalled=1
tick=5209 frame=250 sim=134.174 route=0.4757 render=3.2753 simTicks=9 resim=24 | cmd=0.1236 move=0.5929 vis=8.8175 econ=0.3433 combat=100.316 route=376.661 coll=17.116 | botsP0=166 botsP1=135 stalled=1
tick=5300 frame=250 sim=0 route=0 render=5.949 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=159 botsP1=128 stalled=1
tick=5348 frame=250 sim=0 route=0 render=4.9899 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=154 botsP1=124 stalled=1
tick=5200 frame=250 sim=144.791 route=0.5303 render=3.6544 simTicks=9 resim=24 | cmd=0.1203 move=0.6097 vis=9.1254 econ=0.3462 combat=111.435 route=587.07 coll=17.2954 | botsP0=167 botsP1=136 stalled=1
tick=5238 frame=250 sim=113.478 route=0.5198 render=3.3228 simTicks=10 resim=24 | cmd=0.1406 move=0.6632 vis=9.078 econ=0.3673 combat=101.567 route=558.646 coll=17.8831 | botsP0=164 botsP1=133 stalled=1
tick=5218 frame=250 sim=334.994 route=0.5527 render=3.0662 simTicks=9 resim=24 | cmd=0.1202 move=0.5874 vis=8.9567 econ=0.348 combat=101.406 route=698.629 coll=17.1049 | botsP0=166 botsP1=134 stalled=1
tick=78 frame=250 sim=3.1864 route=0.067 render=1.9295 simTicks=23 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=3 botsP1=3 stalled=1
tick=5248 frame=250 sim=0 route=0 render=5.6801 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=164 botsP1=132 stalled=1
tick=5300 frame=250 sim=52.5573 route=0.454 render=3.3952 simTicks=9 resim=19 | cmd=0.0947 move=0.5081 vis=7.0288 econ=0.2925 combat=74.036 route=191.414 coll=14.0916 | botsP0=159 botsP1=128 stalled=1
tick=5248 frame=250 sim=160.724 route=0.5455 render=3.6407 simTicks=10 resim=24 | cmd=0.1003 move=0.5775 vis=8.9399 econ=0.367 combat=98.014 route=354.706 coll=18.1138 | botsP0=164 botsP1=132 stalled=1
tick=5191 frame=250 sim=223.371 route=0.555 render=3.4463 simTicks=10 resim=24 | cmd=0.1233 move=0.5983 vis=9.5222 econ=0.3516 combat=122.577 route=718.465 coll=17.5089 | botsP0=167 botsP1=136 stalled=1
tick=5300 frame=250 sim=0 route=0 render=2.8962 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=159 botsP1=128 stalled=1
tick=5126 frame=250 sim=937.024 route=2.5209 render=4.8692 simTicks=24 resim=24 | cmd=0.2121 move=1.2734 vis=15.1349 econ=0.5208 combat=183.048 route=1063.15 coll=24.3166 | botsP0=171 botsP1=144 stalled=1
tick=5228 frame=250 sim=185.336 route=0.5702 render=3.3636 simTicks=10 resim=24 | cmd=0.1063 move=0.563 vis=8.8509 econ=0.3537 combat=94.9585 route=622.837 coll=17.86 | botsP0=165 botsP1=133 stalled=1
