FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=3330 resimTicks=509 amplification=1.15285x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=281 frame=21.4281 sim=0.7798 route=0.0081 render=2.7214 simTicks=1 resim=0 | cmd=0.0067 move=0.0184 vis=0.044 econ=0.0078 combat=0.284 route=0.0801 coll=0.0398 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=441 frame=20.9863 sim=0 route=0 render=4.081 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=922 frame=20.9049 sim=0 route=0 render=1.7399 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=401 frame=20.881 sim=0.7426 route=0.0083 render=3.2848 simTicks=1 resim=0 | cmd=0.0091 move=0.0191 vis=0.0528 econ=0.0136 combat=0.3033 route=0.0719 coll=0.0442 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=41 frame=20.687 sim=0.1887 route=0.0075 render=3.0816 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=241 frame=20.6494 sim=0.7436 route=0.0118 render=5.8604 simTicks=1 resim=0 | cmd=0.0031 move=0.0145 vis=0.0573 econ=0.0066 combat=0.2651 route=0.0579 coll=0.0411 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=6 frame=20.6318 sim=0.1603 route=0.0091 render=3.1446 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=161 frame=20.5718 sim=0.6666 route=0.008 render=5.5945 simTicks=1 resim=0 | cmd=0.0035 move=0.015 vis=0.0535 econ=0.0064 combat=0.2824 route=0.055 coll=0.0435 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=81 frame=20.559 sim=0.225 route=0.0088 render=1.9016 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=209 frame=20.4508 sim=0.7149 route=0.0093 render=2.8826 simTicks=1 resim=0 | cmd=0.0087 move=0.0164 vis=0.0522 econ=0.0063 combat=0.2795 route=0.0627 coll=0.0424 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=150 frame=20.4128 sim=0.7349 route=0.0087 render=3.2803 simTicks=1 resim=0 | cmd=0.0088 move=0.0185 vis=0.055 econ=0.0065 combat=0.2897 route=0.06 coll=0.0562 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
