FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=650 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=0 frame=22.3666 sim=0 route=0 render=17.0421 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=441 frame=21.1263 sim=0.6559 route=0.0077 render=2.9548 simTicks=1 resim=0 | cmd=0.0035 move=0.0128 vis=0.0533 econ=0.0063 combat=0.2475 route=0.0461 coll=0.0453 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=280 frame=20.9225 sim=0 route=0 render=3.8056 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=200 frame=20.8255 sim=0 route=0 render=3.9995 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=71 frame=20.815 sim=0.2704 route=0.0098 render=1.3052 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=240 frame=20.8149 sim=0 route=0 render=3.4444 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=80 frame=20.7294 sim=0 route=0 render=3.0194 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=134 frame=20.6818 sim=0.6701 route=0.0087 render=2.5262 simTicks=1 resim=0 | cmd=0.0035 move=0.0124 vis=0.0633 econ=0.0067 combat=0.3063 route=0.0557 coll=0.051 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=400 frame=20.6267 sim=0 route=0 render=4.6398 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=19 frame=20.5588 sim=0.2462 route=0.0076 render=3.7227 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=481 frame=20.5522 sim=0.624 route=0.0433 render=1.6841 simTicks=1 resim=0 | cmd=0.0033 move=0.0112 vis=0.0361 econ=0.0079 combat=0.2746 route=0.0528 coll=0.0495 (field=0 x0 prewarm=0.0044 x0) | botsP0=4 botsP1=3 stalled=0
