FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=2208 resimTicks=12 amplification=1.00543x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=1038 frame=27.9573 sim=0.7596 route=0.0097 render=1.5278 simTicks=1 resim=0 | cmd=0.0044 move=0.0115 vis=0.0852 econ=0.0067 combat=0.3132 route=0.0873 coll=0.0553 (field=0 x0 prewarm=0.0032 x0) | botsP0=4 botsP1=3 stalled=0
tick=1314 frame=23.8109 sim=0.8228 route=0.0099 render=10.0181 simTicks=1 resim=0 | cmd=0.0071 move=0.0467 vis=0.0909 econ=0.0064 combat=0.32 route=0.0882 coll=0.0577 (field=0 x0 prewarm=0.0029 x0) | botsP0=4 botsP1=3 stalled=0
tick=1 frame=23.1419 sim=0.2236 route=0.0269 render=15.1016 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1532 frame=23.1263 sim=0.9475 route=0.1179 render=10.3952 simTicks=1 resim=0 | cmd=0.0044 move=0.0159 vis=0.0465 econ=0.01 combat=0.48 route=0.0677 coll=0.08 (field=0 x0 prewarm=0.0083 x0) | botsP0=4 botsP1=3 stalled=0
tick=477 frame=22.8372 sim=0 route=0 render=7.742 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=280 frame=20.8351 sim=0 route=0 render=10.5258 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=440 frame=20.7477 sim=0 route=0 render=4.393 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=320 frame=20.6648 sim=0 route=0 render=5.4431 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=18 frame=20.6317 sim=0 route=0 render=4.1493 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=360 frame=20.5854 sim=0 route=0 render=5.1551 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=480 frame=20.5673 sim=0 route=0 render=4.9948 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=400 frame=20.5507 sim=0 route=0 render=8.1696 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=40 frame=20.4654 sim=0 route=0 render=9.0555 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=200 frame=20.4502 sim=0 route=0 render=7.4987 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=80 frame=20.4437 sim=0 route=0 render=6.9157 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=160 frame=20.3207 sim=0 route=0 render=7.6001 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=240 frame=20.317 sim=0 route=0 render=8.1993 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
