FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=4728 resimTicks=31 amplification=1.00656x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=694 frame=35.0975 sim=1.6653 route=0.016 render=1.309 simTicks=2 resim=0 | cmd=0.0083 move=0.0272 vis=0.127 econ=0.015 combat=0.7877 route=0.166 coll=0.1292 (field=0 x0 prewarm=0.0046 x0) | botsP0=4 botsP1=3 stalled=0
tick=3478 frame=28.8539 sim=0.8991 route=0.0101 render=1.2496 simTicks=1 resim=0 | cmd=0.0076 move=0.0153 vis=0.0748 econ=0.0081 combat=0.3952 route=0.1046 coll=0.0792 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=3588 frame=28.6859 sim=0.922 route=0.0124 render=1.3006 simTicks=1 resim=0 | cmd=0.0072 move=0.0189 vis=0.1004 econ=0.0078 combat=0.3703 route=0.0947 coll=0.0718 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=2787 frame=28.4437 sim=0.8522 route=0.0118 render=1.2502 simTicks=1 resim=0 | cmd=0.0074 move=0.0215 vis=0.0958 econ=0.012 combat=0.3644 route=0.0899 coll=0.0676 (field=0 x0 prewarm=0.0021 x0) | botsP0=4 botsP1=3 stalled=0
tick=3190 frame=28.3479 sim=1.0117 route=0.0089 render=1.696 simTicks=1 resim=0 | cmd=0.0122 move=0.0199 vis=0.0787 econ=0.0074 combat=0.5206 route=0.1002 coll=0.074 (field=0 x0 prewarm=0.0028 x0) | botsP0=4 botsP1=3 stalled=0
tick=3550 frame=27.9079 sim=1.0216 route=0.0086 render=1.3282 simTicks=1 resim=0 | cmd=0.0076 move=0.0205 vis=0.0817 econ=0.0075 combat=0.4882 route=0.0816 coll=0.08 (field=0 x0 prewarm=0.0029 x0) | botsP0=4 botsP1=3 stalled=0
tick=3636 frame=27.8079 sim=0.8778 route=0.0092 render=1.3264 simTicks=1 resim=0 | cmd=0.0075 move=0.0151 vis=0.0836 econ=0.0075 combat=0.3467 route=0.0967 coll=0.0731 (field=0 x0 prewarm=0.0034 x0) | botsP0=4 botsP1=3 stalled=0
tick=241 frame=27.6776 sim=0.9302 route=0.0074 render=4.3255 simTicks=1 resim=0 | cmd=0.0047 move=0.0156 vis=0.0582 econ=0.0098 combat=0.3545 route=0.1067 coll=0.0627 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=1 frame=26.3229 sim=0.3116 route=0.0234 render=20.9705 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1 frame=21.3883 sim=0 route=0 render=16.5287 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=360 frame=20.7192 sim=0 route=0 render=4.2506 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=160 frame=20.6917 sim=0 route=0 render=4.571 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=440 frame=20.4571 sim=0 route=0 render=4.5927 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=40 frame=20.4398 sim=0 route=0 render=4.1267 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=400 frame=20.3073 sim=0 route=0 render=4.4661 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=480 frame=20.2774 sim=0 route=0 render=4.867 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=320 frame=20.2248 sim=0 route=0 render=4.8215 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=200 frame=20.1136 sim=0 route=0 render=4.4584 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=280 frame=20.0818 sim=0 route=0 render=4.6727 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=721 frame=19.1984 sim=0.8127 route=0.0072 render=3.4295 simTicks=1 resim=0 | cmd=0.0035 move=0.0136 vis=0.056 econ=0.0073 combat=0.3411 route=0.0938 coll=0.0596 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=80 frame=19.0163 sim=0 route=0 render=3.9201 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=2 frame=16.6045 sim=0.2436 route=0.0089 render=12.4854 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3134 frame=15.323 sim=0 route=0 render=3.4456 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=606 frame=15.2344 sim=0 route=0 render=3.537 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=334 frame=15.1815 sim=0 route=0 render=3.6502 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3043 frame=14.9055 sim=0 route=0 render=3.8702 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=937 frame=14.7471 sim=0 route=0 render=3.8018 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=861 frame=14.4489 sim=0 route=0 render=4.5839 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=862 frame=14.395 sim=0 route=0 render=2.3295 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=864 frame=14.2449 sim=0 route=0 render=2.0589 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=391 frame=14.216 sim=0 route=0 render=3.8122 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3145 frame=14.0645 sim=0 route=0 render=4.0114 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=614 frame=13.9071 sim=0 route=0 render=5.1397 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3138 frame=13.8084 sim=0 route=0 render=4.6708 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3140 frame=13.7205 sim=0 route=0 render=4.7894 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=940 frame=13.6885 sim=0 route=0 render=2.2794 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=342 frame=13.5051 sim=0 route=0 render=9.6258 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=950 frame=13.2865 sim=0 route=0 render=2.3692 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=865 frame=13.2487 sim=0 route=0 render=3.0168 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=399 frame=13.2362 sim=0 route=0 render=5.2692 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=609 frame=13.2182 sim=0 route=0 render=10.8537 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=612 frame=13.2043 sim=0 route=0 render=5.6579 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3051 frame=13.1997 sim=0 route=0 render=5.3207 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=394 frame=13.1469 sim=0 route=0 render=5.058 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=941 frame=13.1285 sim=0 route=0 render=4.2303 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=395 frame=13.1233 sim=0 route=0 render=5.0226 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=404 frame=13.116 sim=0 route=0 render=5.2206 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3142 frame=13.0964 sim=0 route=0 render=5.446 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=402 frame=13.0864 sim=0 route=0 render=5.3155 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=870 frame=13.0842 sim=0 route=0 render=2.8946 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3046 frame=13.083 sim=0 route=0 render=6.1199 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=343 frame=13.079 sim=0 route=0 render=5.1554 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
