FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=2611 resimTicks=210 amplification=1.08043x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=855 frame=28.1129 sim=0.9305 route=0.011 render=1.4117 simTicks=1 resim=0 | cmd=0.0169 move=0.0282 vis=0.0718 econ=0.0073 combat=0.3985 route=0.0732 coll=0.0585 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=80 frame=20.9351 sim=0 route=0 render=1.7878 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3 frame=20.8369 sim=0 route=0 render=1.8633 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=200 frame=20.7319 sim=0 route=0 render=2.4112 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=280 frame=20.7233 sim=0 route=0 render=3.8032 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=240 frame=20.6668 sim=0 route=0 render=1.768 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=40 frame=20.401 sim=0 route=0 render=1.8766 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=799 frame=20.3762 sim=0.7317 route=0.0078 render=1.6859 simTicks=1 resim=0 | cmd=0.006 move=0.0151 vis=0.0513 econ=0.008 combat=0.3039 route=0.0577 coll=0.0611 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=160 frame=20.3543 sim=0 route=0 render=2.5815 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=166 frame=20.3049 sim=0.7162 route=0.009 render=3.2578 simTicks=1 resim=0 | cmd=0.0048 move=0.0198 vis=0.0598 econ=0.007 combat=0.2983 route=0.0594 coll=0.0541 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=310 frame=20.2914 sim=0.629 route=0.0084 render=3.4198 simTicks=1 resim=0 | cmd=0.003 move=0.0133 vis=0.0525 econ=0.007 combat=0.308 route=0.0497 coll=0.0461 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=454 frame=20.2324 sim=0.6934 route=0.0081 render=3.0704 simTicks=1 resim=0 | cmd=0.0069 move=0.0164 vis=0.0601 econ=0.0076 combat=0.3273 route=0.0526 coll=0.0531 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=5 frame=19.7226 sim=0.2152 route=0.0082 render=1.2516 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=0 frame=18.9443 sim=0 route=0 render=7.0943 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=161 frame=15.6586 sim=0 route=0 render=4.2608 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=400 frame=15.3727 sim=0 route=0 render=2.3353 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=399 frame=15.3074 sim=0 route=0 render=3.2698 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=241 frame=15.2712 sim=0 route=0 render=3.4988 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
