FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=571 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=201 frame=20.7211 sim=0.7217 route=0.0082 render=3.5658 simTicks=1 resim=0 | cmd=0.0054 move=0.0161 vis=0.0459 econ=0.0072 combat=0.2729 route=0.0603 coll=0.0646 (field=0 x0 prewarm=0.0028 x0) | botsP0=3 botsP1=3 stalled=0
tick=281 frame=20.7136 sim=0.7154 route=0.0073 render=1.3543 simTicks=1 resim=0 | cmd=0.0034 move=0.0132 vis=0.0525 econ=0.0106 combat=0.2858 route=0.0577 coll=0.0838 (field=0 x0 prewarm=0.0025 x0) | botsP0=3 botsP1=3 stalled=0
tick=241 frame=20.6555 sim=0.8198 route=0.0081 render=5.5737 simTicks=1 resim=0 | cmd=0.0037 move=0.0137 vis=0.0414 econ=0.0084 combat=0.3439 route=0.0541 coll=0.0515 (field=0 x0 prewarm=0.0027 x0) | botsP0=3 botsP1=3 stalled=0
tick=81 frame=20.5454 sim=0.3138 route=0.0081 render=3.0667 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=480 frame=20.4684 sim=0 route=0 render=2.3143 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=161 frame=20.0874 sim=0.7396 route=0.0074 render=5.812 simTicks=1 resim=0 | cmd=0.0046 move=0.0164 vis=0.0418 econ=0.0069 combat=0.3364 route=0.0713 coll=0.0703 (field=0 x0 prewarm=0.0017 x0) | botsP0=3 botsP1=3 stalled=0
tick=400 frame=19.9212 sim=0 route=0 render=3.1092 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=41 frame=19.8792 sim=0.3215 route=0.0076 render=1.7731 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=0 frame=19.2309 sim=0 route=0 render=10.672 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=3 frame=13.0748 sim=0 route=0 render=3.2156 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=451 frame=11.8664 sim=0 route=0 render=1.9372 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
