FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=2569 resimTicks=12 amplification=1.00467x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=2 frame=11.628 sim=0 route=0 render=13.3172 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=745 frame=11.1813 sim=0 route=0 render=2.6169 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=547 frame=10.876 sim=0 route=0 render=4.2089 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=652 frame=10.8343 sim=2.6491 route=0.008 render=6.8651 simTicks=1 resim=0 | cmd=0.0034 move=0.0131 vis=0.0576 econ=0.0075 combat=2.2341 route=0.0728 coll=0.0694 (field=0 x0 prewarm=0.003 x0) | botsP0=4 botsP1=3 stalled=0
tick=800 frame=10.7846 sim=0.7479 route=0.0083 render=4.7836 simTicks=1 resim=0 | cmd=0.0041 move=0.0125 vis=0.0681 econ=0.0073 combat=0.3593 route=0.0708 coll=0.0648 (field=0 x0 prewarm=0.0029 x0) | botsP0=4 botsP1=3 stalled=0
tick=542 frame=10.7587 sim=0 route=0 render=4.2063 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=402 frame=10.7446 sim=0 route=0 render=3.9933 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=652 frame=10.6539 sim=0 route=0 render=2.7381 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=537 frame=10.2332 sim=0 route=0 render=5.6668 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=162 frame=10.1651 sim=0.6894 route=0.0082 render=2.2148 simTicks=1 resim=0 | cmd=0.0035 move=0.0134 vis=0.0637 econ=0.0087 combat=0.3004 route=0.06 coll=0.0495 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
