FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=3289 resimTicks=32 amplification=1.00973x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=925 frame=28.0661 sim=1.0121 route=0.015 render=1.5811 simTicks=1 resim=0 | cmd=0.015 move=0.0217 vis=0.072 econ=0.0076 combat=0.4497 route=0.0801 coll=0.0581 (field=0 x0 prewarm=0.0035 x0) | botsP0=4 botsP1=3 stalled=0
tick=1 frame=23.6725 sim=0.2914 route=0.0314 render=15.4901 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=481 frame=21.0814 sim=0.9649 route=0.0117 render=3.7179 simTicks=1 resim=0 | cmd=0.0067 move=0.0167 vis=0.0633 econ=0.0072 combat=0.4253 route=0.0675 coll=0.056 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=361 frame=20.862 sim=2.7168 route=0.0103 render=8.1846 simTicks=1 resim=0 | cmd=0.0041 move=0.0121 vis=0.0533 econ=0.0069 combat=2.2525 route=0.0623 coll=0.0485 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=81 frame=20.8497 sim=0.3117 route=0.0106 render=8.1872 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=441 frame=20.7967 sim=0.6774 route=0.0099 render=3.9029 simTicks=1 resim=0 | cmd=0.004 move=0.0121 vis=0.0591 econ=0.0075 combat=0.2465 route=0.086 coll=0.0604 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=40 frame=20.7759 sim=0 route=0 render=6.7214 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=241 frame=20.6285 sim=0.845 route=0.0078 render=4.1803 simTicks=1 resim=0 | cmd=0.0057 move=0.0128 vis=0.0568 econ=0.0088 combat=0.3663 route=0.0741 coll=0.0565 (field=0 x0 prewarm=0.0021 x0) | botsP0=4 botsP1=3 stalled=0
tick=321 frame=20.5977 sim=0.7898 route=0.0087 render=4.0873 simTicks=1 resim=0 | cmd=0.0087 move=0.021 vis=0.0578 econ=0.0084 combat=0.317 route=0.0582 coll=0.0413 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=281 frame=20.5309 sim=0.8158 route=0.0083 render=9.6173 simTicks=1 resim=0 | cmd=0.0038 move=0.011 vis=0.0571 econ=0.0127 combat=0.3705 route=0.0861 coll=0.0675 (field=0 x0 prewarm=0.0029 x0) | botsP0=4 botsP1=3 stalled=0
tick=201 frame=20.5296 sim=0.7428 route=0.0101 render=10.6328 simTicks=1 resim=0 | cmd=0.0047 move=0.0158 vis=0.0548 econ=0.0063 combat=0.2981 route=0.0642 coll=0.0505 (field=0 x0 prewarm=0.0022 x0) | botsP0=4 botsP1=3 stalled=0
tick=401 frame=20.4792 sim=0.6607 route=0.0091 render=4.5219 simTicks=1 resim=0 | cmd=0.0039 move=0.0116 vis=0.052 econ=0.0073 combat=0.2631 route=0.0623 coll=0.0502 (field=0 x0 prewarm=0.0021 x0) | botsP0=4 botsP1=3 stalled=0
tick=161 frame=20.4524 sim=0.738 route=0.0093 render=4.5063 simTicks=1 resim=0 | cmd=0.004 move=0.0547 vis=0.0488 econ=0.0062 combat=0.3074 route=0.0643 coll=0.0525 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=952 frame=20.1646 sim=0.6982 route=0.0079 render=8.7907 simTicks=1 resim=0 | cmd=0.0045 move=0.0127 vis=0.0517 econ=0.0078 combat=0.2644 route=0.0671 coll=0.0553 (field=0 x0 prewarm=0.0028 x0) | botsP0=4 botsP1=3 stalled=0
tick=0 frame=18.8696 sim=0 route=0 render=23.6195 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=2 frame=15.8739 sim=0.2332 route=0.0084 render=9.8318 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=408 frame=15.2532 sim=0 route=0 render=8.9597 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=944 frame=14.7178 sim=0 route=0 render=1.7058 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=907 frame=14.6112 sim=0 route=0 render=10.5128 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=642 frame=14.1478 sim=0 route=0 render=11.0989 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=469 frame=13.9992 sim=0 route=0 render=10.3058 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=525 frame=13.9785 sim=0 route=0 render=4.9629 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1060 frame=13.9545 sim=0 route=0 render=1.5462 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1057 frame=13.6885 sim=0 route=0 render=2.4045 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=999 frame=13.6779 sim=0 route=0 render=2.1051 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=945 frame=13.4466 sim=0 route=0 render=1.9657 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=655 frame=13.3789 sim=0 route=0 render=8.2175 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=653 frame=13.2116 sim=0 route=0 render=7.7506 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=477 frame=13.1921 sim=0 route=0 render=7.9824 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=913 frame=13.134 sim=0 route=0 render=8.2744 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1005 frame=13.1262 sim=0 route=0 render=1.9092 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
