FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=3520 frame=250 sim=266.112 route=0.6178 render=3.3412 simTicks=12 resim=24 | cmd=0.14 move=0.6236 vis=12.8458 econ=0.5295 combat=38.2804 route=262.359 coll=11.6152 | botsP0=143 botsP1=167 stalled=1
tick=3311 frame=250 sim=198.458 route=1.9214 render=4.5383 simTicks=14 resim=24 | cmd=0.2335 move=2.1017 vis=15.005 econ=0.7175 combat=52.3145 route=520.035 coll=13.8347 | botsP0=146 botsP1=168 stalled=1
tick=3325 frame=250 sim=47.3056 route=0.8242 render=6.0505 simTicks=14 resim=24 | cmd=0.2217 move=0.6937 vis=16.6738 econ=0.6589 combat=32.3763 route=48.3775 coll=13.8552 | botsP0=146 botsP1=168 stalled=1
tick=3590 frame=250 sim=17.882 route=0.4027 render=3.7135 simTicks=9 resim=24 | cmd=0.1657 move=0.6577 vis=11.4555 econ=0.3788 combat=56.1318 route=632.124 coll=10.6863 | botsP0=142 botsP1=167 stalled=1
tick=3804 frame=250 sim=232.359 route=1.2197 render=4.6423 simTicks=9 resim=24 | cmd=0.1983 move=0.7117 vis=9.8704 econ=0.4192 combat=54.1218 route=913.547 coll=11.1072 | botsP0=135 botsP1=159 stalled=1
tick=3910 frame=250 sim=107.572 route=1.1293 render=4.572 simTicks=9 resim=24 | cmd=0.235 move=0.7297 vis=10.2107 econ=0.4193 combat=72.5197 route=849.893 coll=12.1964 | botsP0=132 botsP1=156 stalled=1
tick=3297 frame=250 sim=165.03 route=1.8819 render=4.9503 simTicks=13 resim=24 | cmd=0.232 move=0.7325 vis=14.3023 econ=0.5631 combat=44.0066 route=457.067 coll=11.5944 | botsP0=146 botsP1=168 stalled=1
tick=3768 frame=250 sim=18.5808 route=1.0761 render=5.9176 simTicks=9 resim=24 | cmd=0.1218 move=0.5346 vis=9.4283 econ=0.3619 combat=38.8957 route=40.2225 coll=10.2334 | botsP0=135 botsP1=161 stalled=1
tick=3508 frame=250 sim=30.1332 route=0.5186 render=3.7741 simTicks=12 resim=24 | cmd=0.1445 move=0.6264 vis=12.5504 econ=0.5335 combat=44.1743 route=250.217 coll=14.906 | botsP0=144 botsP1=167 stalled=1
tick=3843 frame=250 sim=31.0161 route=0.7629 render=3.0325 simTicks=10 resim=24 | cmd=0.1609 move=0.7363 vis=10.8664 econ=0.5267 combat=58.8903 route=479.978 coll=11.1906 | botsP0=134 botsP1=157 stalled=1
tick=3873 frame=250 sim=47.3392 route=1.2187 render=3.4019 simTicks=19 resim=24 | cmd=0.1661 move=0.7652 vis=12.1207 econ=0.5166 combat=60.578 route=164.632 coll=13.5798 | botsP0=134 botsP1=157 stalled=1
tick=3572 frame=250 sim=500.952 route=0.8464 render=3.6346 simTicks=12 resim=24 | cmd=0.1763 move=1.3025 vis=12.4539 econ=0.4858 combat=77.1957 route=774.091 coll=14.0329 | botsP0=142 botsP1=167 stalled=1
tick=3854 frame=250 sim=23.7609 route=0.6129 render=4.2439 simTicks=9 resim=24 | cmd=0.207 move=0.683 vis=9.1645 econ=0.3908 combat=69.07 route=892.17 coll=11.9779 | botsP0=134 botsP1=157 stalled=1
tick=3612 frame=250 sim=369.851 route=2.5722 render=3.457 simTicks=11 resim=24 | cmd=0.1588 move=0.7283 vis=11.8965 econ=0.4438 combat=73.2493 route=505.089 coll=11.3536 | botsP0=140 botsP1=167 stalled=1
tick=3893 frame=250 sim=245.714 route=0.4388 render=3.2318 simTicks=5 resim=21 | cmd=0.19 move=0.6827 vis=8.4253 econ=0.3504 combat=40.4403 route=371.092 coll=8.6357 | botsP0=133 botsP1=157 stalled=1
tick=3759 frame=250 sim=32.1196 route=0.5385 render=3.724 simTicks=10 resim=24 | cmd=0.1536 move=0.6887 vis=10.1721 econ=0.3824 combat=70.4984 route=288.669 coll=10.8631 | botsP0=135 botsP1=161 stalled=1
tick=3654 frame=250 sim=49.8281 route=1.6466 render=3.166 simTicks=12 resim=24 | cmd=0.1671 move=0.7441 vis=12.8935 econ=0.385 combat=66.9167 route=48.5942 coll=13.1713 | botsP0=139 botsP1=165 stalled=1
tick=3471 frame=250 sim=15.2009 route=0.3029 render=4.4246 simTicks=7 resim=24 | cmd=0.1786 move=0.6849 vis=11.1833 econ=0.5815 combat=49.8463 route=473.229 coll=9.9136 | botsP0=144 botsP1=167 stalled=1
tick=3415 frame=250 sim=124.844 route=5.5742 render=3.2527 simTicks=30 resim=24 | cmd=0.2022 move=0.8747 vis=19.2789 econ=0.7847 combat=56.1127 route=132.19 coll=17.0753 | botsP0=145 botsP1=167 stalled=1
tick=3833 frame=250 sim=213.401 route=0.6986 render=3.226 simTicks=9 resim=24 | cmd=0.1683 move=0.6587 vis=9.447 econ=0.5571 combat=45.1442 route=222.159 coll=10.7395 | botsP0=134 botsP1=157 stalled=1
tick=3873 frame=250 sim=0 route=0 render=4.8852 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=134 botsP1=157 stalled=1
tick=3622 frame=250 sim=444.152 route=0.7162 render=4.0727 simTicks=10 resim=24 | cmd=0.2381 move=0.7594 vis=11.3914 econ=0.4234 combat=91.4883 route=1021.86 coll=11.6545 | botsP0=139 botsP1=165 stalled=1
tick=3642 frame=250 sim=18.524 route=3.3686 render=3.8466 simTicks=10 resim=24 | cmd=0.1833 move=0.6484 vis=10.7592 econ=0.3771 combat=75.2818 route=667.23 coll=12.599 | botsP0=139 botsP1=165 stalled=1
tick=3813 frame=250 sim=24.3638 route=0.8819 render=3.0253 simTicks=9 resim=24 | cmd=0.1884 move=0.6887 vis=10.0457 econ=0.4094 combat=52.5339 route=638.42 coll=11.0998 | botsP0=135 botsP1=159 stalled=1
tick=3901 frame=250 sim=294.475 route=0.7635 render=3.346 simTicks=8 resim=24 | cmd=0.1528 move=0.6039 vis=8.8607 econ=0.3843 combat=55.8013 route=861.478 coll=9.9669 | botsP0=132 botsP1=157 stalled=1
tick=3824 frame=250 sim=104.446 route=1.1548 render=3.0737 simTicks=11 resim=24 | cmd=0.4698 move=0.7715 vis=12.8041 econ=0.5112 combat=41.152 route=185.891 coll=12.0578 | botsP0=135 botsP1=158 stalled=1
tick=313 frame=250 sim=2.9956 route=0.0784 render=1.2726 simTicks=27 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=3 botsP1=3 stalled=1
tick=3689 frame=250 sim=274.421 route=1.5867 render=3.8095 simTicks=20 resim=23 | cmd=0.249 move=0.9449 vis=13.7153 econ=0.5309 combat=60.2349 route=248.727 coll=14.6498 | botsP0=139 botsP1=163 stalled=1
tick=3355 frame=250 sim=435.284 route=1.9527 render=4.8724 simTicks=29 resim=24 | cmd=0.2141 move=0.8888 vis=21.4406 econ=0.7738 combat=76.1676 route=389.136 coll=22.5698 | botsP0=146 botsP1=168 stalled=1
tick=3581 frame=250 sim=294.054 route=0.4829 render=4.0359 simTicks=9 resim=24 | cmd=0.1561 move=1.1082 vis=13.4369 econ=0.3792 combat=85.0582 route=605.553 coll=10.8536 | botsP0=142 botsP1=167 stalled=1
tick=3385 frame=250 sim=22.8376 route=0.6786 render=3.1998 simTicks=8 resim=24 | cmd=0.136 move=0.5594 vis=12.2564 econ=0.492 combat=46.9642 route=245.628 coll=11.5367 | botsP0=145 botsP1=167 stalled=1
tick=3702 frame=250 sim=37.6282 route=0.5035 render=3.1487 simTicks=10 resim=24 | cmd=0.1225 move=0.5938 vis=10.1255 econ=0.3654 combat=48.4755 route=147.369 coll=10.5366 | botsP0=138 botsP1=162 stalled=1
tick=3533 frame=250 sim=28.0854 route=0.5454 render=3.9995 simTicks=13 resim=24 | cmd=0.1584 move=0.7282 vis=12.9041 econ=0.6197 combat=21.419 route=108.326 coll=11.6307 | botsP0=143 botsP1=167 stalled=1
tick=3689 frame=250 sim=0 route=0 render=3.4697 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=139 botsP1=163 stalled=1
tick=3739 frame=250 sim=201.857 route=0.6068 render=3.4282 simTicks=9 resim=24 | cmd=0.129 move=0.6057 vis=10.056 econ=0.3854 combat=74.3169 route=425.456 coll=10.6883 | botsP0=135 botsP1=161 stalled=1
tick=3632 frame=250 sim=554.536 route=3.3459 render=3.6662 simTicks=10 resim=24 | cmd=0.2272 move=0.7793 vis=12.2538 econ=0.3929 combat=104.112 route=1320.76 coll=12.7814 | botsP0=139 botsP1=165 stalled=1
tick=3484 frame=250 sim=31.3308 route=0.6926 render=4.4084 simTicks=13 resim=24 | cmd=0.1987 move=0.7064 vis=13.2446 econ=0.5937 combat=41.9817 route=33.564 coll=11.5996 | botsP0=144 botsP1=167 stalled=1
tick=3355 frame=250 sim=0 route=0 render=11.2194 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=146 botsP1=168 stalled=1
tick=3843 frame=250 sim=0 route=0 render=4.4678 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=134 botsP1=157 stalled=1
tick=3464 frame=250 sim=20.7956 route=0.434 render=4.3531 simTicks=9 resim=22 | cmd=0.1544 move=0.5966 vis=11.1069 econ=0.491 combat=45.1829 route=411.65 coll=10.1877 | botsP0=144 botsP1=167 stalled=1
tick=3601 frame=250 sim=199.008 route=1.1019 render=3.8098 simTicks=11 resim=24 | cmd=0.1965 move=0.6844 vis=11.5054 econ=0.3629 combat=76.2838 route=380.553 coll=11.0798 | botsP0=141 botsP1=167 stalled=1
tick=3730 frame=250 sim=191.7 route=0.9663 render=3.483 simTicks=15 resim=18 | cmd=0.1603 move=0.6232 vis=9.79 econ=0.3644 combat=73.6764 route=471.634 coll=10.2765 | botsP0=135 botsP1=162 stalled=1
tick=3455 frame=250 sim=498.347 route=1.4371 render=5.2322 simTicks=30 resim=18 | cmd=0.1784 move=0.8058 vis=16.5768 econ=0.6893 combat=64.1464 route=463.935 coll=15.6331 | botsP0=144 botsP1=167 stalled=0
tick=3749 frame=250 sim=25.9642 route=0.5156 render=3.0701 simTicks=10 resim=24 | cmd=0.1668 move=0.6724 vis=9.9593 econ=0.3849 combat=70.464 route=507.571 coll=10.7063 | botsP0=135 botsP1=161 stalled=1
tick=3560 frame=250 sim=101.193 route=1.7568 render=3.9165 simTicks=11 resim=24 | cmd=0.1611 move=1.068 vis=12.5522 econ=0.5398 combat=59.9024 route=599.774 coll=13.3502 | botsP0=143 botsP1=167 stalled=1
tick=3415 frame=249.865 sim=0 route=0 render=4.3055 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=145 botsP1=167 stalled=1
tick=3377 frame=246.269 sim=336.256 route=1.2003 render=4.3794 simTicks=19 resim=24 | cmd=0.2379 move=0.8432 vis=16.4916 econ=0.6883 combat=76.9308 route=429.989 coll=14.1229 | botsP0=145 botsP1=167 stalled=1
tick=3711 frame=226.758 sim=26.5034 route=0.4542 render=3.5084 simTicks=9 resim=24 | cmd=0.1236 move=0.5831 vis=10.0744 econ=0.3757 combat=49.187 route=106.211 coll=10.4289 | botsP0=138 botsP1=162 stalled=1
tick=3284 frame=224.602 sim=391.893 route=0.9165 render=3.9128 simTicks=14 resim=23 | cmd=0.2006 move=1.2307 vis=14.554 econ=0.5637 combat=43.3549 route=482.653 coll=12.5858 | botsP0=146 botsP1=166 stalled=1
tick=3711 frame=185.93 sim=0 route=0 render=5.69 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=138 botsP1=162 stalled=1
tick=3549 frame=171.983 sim=447.627 route=0.3118 render=3.7076 simTicks=5 resim=24 | cmd=0.1648 move=0.6171 vis=12.0729 econ=0.4421 combat=29.1472 route=758.57 coll=9.708 | botsP0=143 botsP1=167 stalled=1
tick=3270 frame=171.169 sim=117.701 route=1.1037 render=3.8439 simTicks=20 resim=18 | cmd=0.1765 move=0.7614 vis=13.9416 econ=0.8067 combat=44.6751 route=140.286 coll=11.1622 | botsP0=146 botsP1=164 stalled=0
tick=3544 frame=169.396 sim=28.6275 route=0.6356 render=3.8477 simTicks=11 resim=24 | cmd=0.1297 move=0.6012 vis=12.4151 econ=0.5114 combat=24.0138 route=108.783 coll=13.6423 | botsP0=143 botsP1=167 stalled=1
tick=3657 frame=157.419 sim=6.9401 route=0.1444 render=3.4413 simTicks=3 resim=24 | cmd=0.0913 move=0.4382 vis=9.9502 econ=0.2951 combat=24.4848 route=18.7513 coll=8.4715 | botsP0=139 botsP1=165 stalled=1
tick=3325 frame=127.931 sim=0 route=0 render=13.328 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=146 botsP1=168 stalled=1
tick=3795 frame=127.518 sim=425.397 route=0.6349 render=3.3017 simTicks=9 resim=24 | cmd=0.1399 move=0.5781 vis=9.8538 econ=0.3903 combat=43.0075 route=430.989 coll=10.6741 | botsP0=135 botsP1=159 stalled=1
tick=3496 frame=116.474 sim=170.071 route=0.6354 render=3.5077 simTicks=12 resim=24 | cmd=0.1956 move=0.6438 vis=12.8004 econ=0.6098 combat=33.3052 route=329.798 coll=11.5685 | botsP0=144 botsP1=167 stalled=1
tick=3777 frame=113.359 sim=17.102 route=1.0204 render=4.9538 simTicks=9 resim=24 | cmd=0.1144 move=0.5336 vis=9.4208 econ=0.4784 combat=23.6596 route=39.9626 coll=10.5201 | botsP0=135 botsP1=161 stalled=1
tick=3240 frame=100.747 sim=27.7583 route=0.4649 render=5.1072 simTicks=12 resim=12 | cmd=0.1144 move=0.4255 vis=8.5771 econ=0.4899 combat=39.5202 route=15.3787 coll=7.0414 | botsP0=146 botsP1=159 stalled=0
tick=3786 frame=97.4385 sim=68.8817 route=0.6856 render=3.5395 simTicks=9 resim=24 | cmd=0.1133 move=0.5437 vis=9.4994 econ=0.3687 combat=18.4018 route=77.7551 coll=10.5621 | botsP0=135 botsP1=160 stalled=1
tick=3888 frame=91.252 sim=221.542 route=0.9726 render=3.9576 simTicks=11 resim=19 | cmd=0.183 move=0.6122 vis=8.7955 econ=0.4427 combat=24.9671 route=216.66 coll=9.3905 | botsP0=133 botsP1=157 stalled=0
tick=3199 frame=84.9257 sim=25.7516 route=0.1239 render=8.0908 simTicks=10 resim=5 | cmd=0.0649 move=0.2413 vis=5.325 econ=0.2645 combat=20.9937 route=13.7613 coll=5.2171 | botsP0=146 botsP1=153 stalled=0
tick=3250 frame=81.2798 sim=101.695 route=0.3826 render=4.2386 simTicks=10 resim=19 | cmd=0.1272 move=0.4612 vis=10.1968 econ=0.6207 combat=48.729 route=90.9733 coll=8.4965 | botsP0=146 botsP1=161 stalled=0
tick=3228 frame=80.8362 sim=76.4757 route=0.3652 render=3.9902 simTicks=10 resim=6 | cmd=0.0945 move=0.3031 vis=6.0719 econ=0.3297 combat=29.622 route=50.438 coll=5.0908 | botsP0=146 botsP1=158 stalled=0
tick=3657 frame=69.655 sim=0 route=0 render=5.9451 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=139 botsP1=165 stalled=1
tick=3669 frame=66.2236 sim=421.848 route=0.6448 render=3.5508 simTicks=9 resim=24 | cmd=0.1455 move=0.6303 vis=10.1847 econ=0.3798 combat=40.3551 route=413.545 coll=10.8554 | botsP0=139 botsP1=165 stalled=0
tick=3206 frame=57.5437 sim=11.6952 route=0.3797 render=4.5316 simTicks=7 resim=0 | cmd=0.0402 move=0.1066 vis=2.6197 econ=0.1354 combat=2.0548 route=3.124 coll=2.0881 | botsP0=146 botsP1=154 stalled=0
tick=3189 frame=50.4605 sim=57.7655 route=0.1229 render=4.7573 simTicks=6 resim=4 | cmd=1.2023 move=0.1865 vis=3.4821 econ=0.1854 combat=37.203 route=32.0101 coll=2.8619 | botsP0=146 botsP1=152 stalled=0
tick=3425 frame=48.582 sim=146.138 route=0.9168 render=3.5062 simTicks=8 resim=24 | cmd=0.1534 move=0.6044 vis=11.7825 econ=0.5204 combat=35.0198 route=464.902 coll=10.1629 | botsP0=145 botsP1=167 stalled=0
tick=3218 frame=42.3727 sim=49.8564 route=0.178 render=4.4624 simTicks=5 resim=16 | cmd=0.0935 move=0.3334 vis=7.2988 econ=0.3719 combat=13.0179 route=44.7773 coll=6.2714 | botsP0=146 botsP1=156 stalled=0
tick=3213 frame=35.3947 sim=5.9528 route=0.4235 render=5.8905 simTicks=4 resim=18 | cmd=0.0968 move=0.3896 vis=7.9383 econ=0.466 combat=6.4117 route=10.2875 coll=6.5508 | botsP0=146 botsP1=155 stalled=0
tick=3355 frame=22.5689 sim=0 route=0 render=20.7369 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=146 botsP1=168 stalled=1
tick=3355 frame=22.3199 sim=0 route=0 render=22.5322 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=146 botsP1=168 stalled=1
tick=3355 frame=20.7761 sim=0 route=0 render=13.7332 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=146 botsP1=168 stalled=1
tick=431 frame=20.4329 sim=1.6515 route=0.0226 render=1.283 simTicks=3 resim=0 | cmd=0.0104 move=0.0348 vis=0.0529 econ=0.0173 combat=0.7279 route=0.1484 coll=0.0745 | botsP0=3 botsP1=3 stalled=0
tick=3183 frame=20.1988 sim=35.3991 route=0.0687 render=3.8298 simTicks=3 resim=2 | cmd=0.03 move=0.0862 vis=1.7947 econ=0.093 combat=19.7897 route=21.8882 coll=1.55 | botsP0=146 botsP1=152 stalled=0
tick=482 frame=19.5728 sim=1.1226 route=0.0132 render=6.1565 simTicks=2 resim=0 | cmd=0.0086 move=0.0238 vis=0.0356 econ=0.0119 combat=0.4852 route=0.1182 coll=0.0506 | botsP0=3 botsP1=3 stalled=0
tick=2 frame=19.3224 sim=0.3559 route=0.058 render=2.7703 simTicks=2 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=3 botsP1=3 stalled=0
tick=3208 frame=17.2147 sim=3.1314 route=0.0833 render=5.0971 simTicks=2 resim=0 | cmd=0.007 move=0.0299 vis=0.7103 econ=0.0342 combat=0.633 route=0.8343 coll=0.5961 | botsP0=146 botsP1=154 stalled=0
tick=3355 frame=13.7707 sim=0 route=0 render=11.7398 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=146 botsP1=168 stalled=1
tick=3325 frame=13.7381 sim=0 route=0 render=10.6801 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=146 botsP1=168 stalled=1
tick=3078 frame=13.3981 sim=2.7216 route=0.0531 render=4.2648 simTicks=2 resim=2 | cmd=0.0184 move=0.0979 vis=1.5448 econ=0.1032 combat=1.1529 route=1.1366 coll=1.0511 | botsP0=146 botsP1=135 stalled=0
tick=3166 frame=12.9181 sim=3.0394 route=0.052 render=3.541 simTicks=2 resim=2 | cmd=0.019 move=0.0752 vis=1.5129 econ=0.0743 combat=1.0277 route=1.5847 coll=1.217 | botsP0=146 botsP1=148 stalled=0
tick=3129 frame=12.875 sim=2.7307 route=0.2688 render=4.7301 simTicks=2 resim=2 | cmd=0.0163 move=0.0912 vis=1.402 econ=0.0712 combat=1.0573 route=1.2788 coll=1.2606 | botsP0=146 botsP1=142 stalled=0
tick=3158 frame=12.7521 sim=2.9603 route=0.0491 render=3.5921 simTicks=2 resim=3 | cmd=0.0182 move=0.0794 vis=1.6846 econ=0.0932 combat=1.3238 route=1.8189 coll=1.4424 | botsP0=146 botsP1=147 stalled=0
tick=3142 frame=12.5312 sim=4.2768 route=0.062 render=3.56 simTicks=2 resim=2 | cmd=0.0243 move=0.063 vis=1.4908 econ=0.0714 combat=1.444 route=2.2308 coll=1.108 | botsP0=146 botsP1=146 stalled=0
tick=3355 frame=12.5221 sim=0 route=0 render=22.2648 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=146 botsP1=168 stalled=1
tick=3137 frame=12.5042 sim=3.1202 route=0.1848 render=3.4857 simTicks=2 resim=2 | cmd=0.0207 move=0.0707 vis=1.4665 econ=0.0809 combat=1.06 route=1.3229 coll=1.0938 | botsP0=146 botsP1=144 stalled=0
tick=3116 frame=12.3521 sim=1.4247 route=0.0437 render=4.6266 simTicks=1 resim=3 | cmd=0.0198 move=0.0631 vis=1.4291 econ=0.071 combat=1.0256 route=1.9553 coll=1.1212 | botsP0=146 botsP1=141 stalled=0
tick=1937 frame=12.2609 sim=1.5233 route=0.0865 render=2.7134 simTicks=1 resim=0 | cmd=0.0098 move=0.0279 vis=0.1754 econ=0.0166 combat=0.4738 route=0.3576 coll=0.1601 | botsP0=112 botsP1=3 stalled=0
tick=3135 frame=12.1678 sim=4.2076 route=0.0107 render=3.4278 simTicks=1 resim=3 | cmd=0.0161 move=0.0609 vis=1.3482 econ=0.0713 combat=1.0337 route=4.1886 coll=1.2335 | botsP0=146 botsP1=143 stalled=0
tick=3130 frame=11.9927 sim=1.3943 route=0.0474 render=3.0363 simTicks=1 resim=3 | cmd=0.0209 move=0.0668 vis=1.394 econ=0.0714 combat=1.1198 route=1.4315 coll=1.1325 | botsP0=146 botsP1=143 stalled=0
tick=3355 frame=11.8027 sim=0 route=0 render=7.4686 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=146 botsP1=168 stalled=1
tick=3355 frame=11.7721 sim=0 route=0 render=11.7711 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=146 botsP1=168 stalled=1
tick=3355 frame=11.6078 sim=0 route=0 render=5.929 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=146 botsP1=168 stalled=1
tick=3159 frame=11.374 sim=1.5543 route=0.0144 render=4.2137 simTicks=1 resim=3 | cmd=0.0185 move=0.0698 vis=1.4976 econ=0.0738 combat=1.0605 route=1.5532 coll=1.2248 | botsP0=146 botsP1=147 stalled=0
tick=412 frame=11.318 sim=0.5608 route=0.0068 render=1.3042 simTicks=1 resim=0 | cmd=0.0058 move=0.0111 vis=0.0175 econ=0.0061 combat=0.2305 route=0.0351 coll=0.0266 | botsP0=3 botsP1=3 stalled=0
tick=3127 frame=11.2966 sim=4.5167 route=0.0091 render=3.4229 simTicks=1 resim=3 | cmd=0.0156 move=0.1262 vis=1.5233 econ=0.0704 combat=1.0601 route=4.1164 coll=1.1635 | botsP0=146 botsP1=142 stalled=0
tick=3118 frame=11.2823 sim=2.8388 route=0.0452 render=4.3606 simTicks=2 resim=2 | cmd=0.0152 move=0.0611 vis=1.4215 econ=0.0723 combat=1.0602 route=1.3557 coll=1.0931 | botsP0=146 botsP1=141 stalled=0
tick=3163 frame=11.2658 sim=1.6057 route=0.0406 render=3.2091 simTicks=1 resim=3 | cmd=0.0213 move=0.0687 vis=1.5271 econ=0.1133 combat=1.9036 route=1.6893 coll=1.2217 | botsP0=146 botsP1=148 stalled=0
