FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=4567 resimTicks=491 amplification=1.10751x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=4333 frame=250 sim=394.134 route=0.6598 render=3.3389 simTicks=9 resim=24 | cmd=0.1194 move=0.6139 vis=11.0673 econ=0.3597 combat=127.246 route=839.465 coll=8.7865 (field=0.2791 x926 prewarm=832.598 x320) | botsP0=160 botsP1=149 stalled=1
tick=4285 frame=250 sim=233.586 route=0.5819 render=3.4006 simTicks=9 resim=24 | cmd=0.1286 move=0.6209 vis=11.4748 econ=0.3336 combat=131.5 route=332.634 coll=8.1592 (field=0.1172 x303 prewarm=326.178 x124) | botsP0=164 botsP1=153 stalled=1
tick=4368 frame=250 sim=761.375 route=1.1507 render=4.3079 simTicks=17 resim=24 | cmd=0.1613 move=0.8564 vis=13.4493 econ=0.4422 combat=162.904 route=1023.85 coll=10.9943 (field=0.3724 x1383 prewarm=1015.61 x528) | botsP0=156 botsP1=148 stalled=1
tick=4435 frame=250 sim=732.574 route=1.1757 render=5.0602 simTicks=18 resim=24 | cmd=0.1434 move=0.7958 vis=13.0107 econ=0.4834 combat=131.093 route=906.808 coll=11.4117 (field=0.3644 x1432 prewarm=898.865 x476) | botsP0=150 botsP1=142 stalled=1
tick=4531 frame=250 sim=410.772 route=2.0841 render=4.095 simTicks=18 resim=24 | cmd=0.1586 move=0.7795 vis=11.8172 econ=0.4749 combat=108.637 route=529.675 coll=10.2223 (field=0.3754 x1496 prewarm=522.152 x383) | botsP0=140 botsP1=132 stalled=1
tick=4513 frame=250 sim=496.522 route=0.9481 render=3.0328 simTicks=18 resim=24 | cmd=0.1434 move=0.771 vis=11.7438 econ=0.4658 combat=119.554 route=710.066 coll=10.6825 (field=0.3879 x1434 prewarm=700.902 x529) | botsP0=141 botsP1=132 stalled=1
tick=4453 frame=250 sim=517.599 route=1.0934 render=3.2391 simTicks=18 resim=24 | cmd=0.1508 move=0.7672 vis=12.3691 econ=0.469 combat=140.646 route=656.202 coll=11.4564 (field=0.386 x1450 prewarm=647.7 x371) | botsP0=147 botsP1=139 stalled=1
tick=4466 frame=250 sim=151.845 route=0.6806 render=3.2624 simTicks=13 resim=24 | cmd=0.1254 move=0.6541 vis=10.6785 econ=0.4058 combat=99.0534 route=569.452 coll=9.1891 (field=0.4166 x1434 prewarm=562.775 x326) | botsP0=145 botsP1=138 stalled=1
tick=4478 frame=250 sim=458.461 route=0.7104 render=3.2575 simTicks=12 resim=24 | cmd=0.1324 move=0.6439 vis=10.0841 econ=0.3945 combat=97.6702 route=625.027 coll=8.8826 (field=0.3569 x1405 prewarm=618.379 x324) | botsP0=144 botsP1=135 stalled=1
tick=4495 frame=250 sim=500.185 route=0.911 render=3.5758 simTicks=17 resim=24 | cmd=0.1389 move=0.7395 vis=11.536 econ=0.4576 combat=102.865 route=599.291 coll=10.1032 (field=0.3464 x1430 prewarm=592.174 x345) | botsP0=142 botsP1=134 stalled=1
tick=76 frame=250 sim=3.4305 route=0.0746 render=1.9147 simTicks=22 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=1
