FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=4562 frame=250 sim=613.26 route=1.6642 render=3.6345 simTicks=30 resim=0 | cmd=0.094 move=0.5771 vis=11.4311 econ=0.3291 combat=67.7955 route=516.837 coll=11.9723 (field=3.754 x3955) | botsP0=184 botsP1=194 stalled=1
tick=4803 frame=250 sim=0 route=0 render=7.2702 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=152 botsP1=191 stalled=1
tick=4707 frame=250 sim=0 route=0 render=8.5732 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=165 botsP1=192 stalled=1
tick=4899 frame=250 sim=0 route=0 render=5.05 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=135 botsP1=191 stalled=1
tick=4610 frame=250 sim=0 route=0 render=8.1171 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=174 botsP1=194 stalled=1
tick=4706 frame=250 sim=189.832 route=0.7902 render=3.4753 simTicks=11 resim=0 | cmd=0.0364 move=0.2332 vis=4.4278 econ=0.128 combat=25.2749 route=154.437 coll=3.7235 (field=0.2055 x1177) | botsP0=165 botsP1=192 stalled=1
tick=4610 frame=250 sim=0 route=0 render=8.6964 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=174 botsP1=194 stalled=1
tick=4466 frame=250 sim=0 route=0 render=8.9793 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=196 botsP1=194 stalled=1
tick=4851 frame=250 sim=0 route=0 render=4.7404 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=143 botsP1=191 stalled=1
tick=4899 frame=250 sim=0 route=0 render=5.7704 simTicks=0 resim=1 | cmd=0.0038 move=0.0199 vis=0.4539 econ=0.012 combat=0.3553 route=0.2478 coll=0.2912 (field=0.0119 x20) | botsP0=135 botsP1=191 stalled=1
tick=4851 frame=250 sim=0 route=0 render=5.3628 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=143 botsP1=191 stalled=1
tick=4658 frame=250 sim=286.887 route=1.012 render=3.4589 simTicks=14 resim=0 | cmd=0.046 move=0.2738 vis=5.4383 econ=0.1667 combat=35.5972 route=238.384 coll=4.9923 (field=0.197 x1391) | botsP0=167 botsP1=192 stalled=1
tick=4755 frame=250 sim=34.2678 route=0.0712 render=3.2919 simTicks=1 resim=0 | cmd=0.0032 move=0.0227 vis=0.3704 econ=0.0116 combat=4.0337 route=29.1734 coll=0.4982 (field=0.0358 x115) | botsP0=159 botsP1=192 stalled=1
tick=4466 frame=250 sim=14.223 route=0.064 render=4.1846 simTicks=1 resim=0 | cmd=0.003 move=0.0174 vis=0.3767 econ=0.011 combat=2.2524 route=11.0365 coll=0.385 (field=0.0232 x175) | botsP0=196 botsP1=194 stalled=1
tick=4610 frame=250 sim=704.105 route=2.0866 render=3.8101 simTicks=32 resim=0 | cmd=0.1071 move=0.6337 vis=11.9908 econ=0.5433 combat=74.2898 route=599.007 coll=12.3085 (field=3.7931 x3188) | botsP0=174 botsP1=194 stalled=1
tick=4562 frame=250 sim=0 route=0 render=9.6726 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=184 botsP1=194 stalled=1
tick=4755 frame=250 sim=0 route=0 render=7.4381 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=159 botsP1=192 stalled=1
tick=4803 frame=250 sim=389.349 route=1.3528 render=3.2824 simTicks=21 resim=0 | cmd=0.072 move=0.4501 vis=7.6401 econ=0.2488 combat=62.6839 route=308.264 coll=7.0509 (field=0.3267 x2523) | botsP0=152 botsP1=191 stalled=1
tick=4514 frame=233.234 sim=584.07 route=1.5877 render=4.2017 simTicks=29 resim=0 | cmd=0.0892 move=0.5259 vis=11.3247 econ=0.3068 combat=75.5681 route=480.737 coll=11.7589 (field=3.6265 x4187) | botsP0=192 botsP1=194 stalled=1
tick=4847 frame=220.039 sim=556.272 route=1.6817 render=3.4778 simTicks=30 resim=0 | cmd=0.1008 move=0.5862 vis=10.4301 econ=0.3607 combat=74.9232 route=456.458 coll=9.4095 (field=0.4322 x2528) | botsP0=147 botsP1=191 stalled=0
tick=4707 frame=200.385 sim=0 route=0 render=9.9454 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=165 botsP1=192 stalled=1
tick=4707 frame=195.061 sim=19.9894 route=0.0846 render=3.4691 simTicks=1 resim=24 | cmd=0.0946 move=0.5639 vis=9.8189 econ=0.292 combat=59.9272 route=470.835 coll=8.8735 (field=5.7124 x2344) | botsP0=165 botsP1=192 stalled=1
tick=4695 frame=193.345 sim=729.743 route=1.9563 render=3.4184 simTicks=28 resim=0 | cmd=0.0973 move=0.6266 vis=10.8938 econ=0.3286 combat=86.1579 route=617.362 coll=9.8516 (field=0.289 x1405) | botsP0=166 botsP1=192 stalled=0
tick=4644 frame=179.366 sim=510.568 route=1.7206 render=3.4521 simTicks=25 resim=0 | cmd=0.0811 move=0.5061 vis=9.2802 econ=0.4 combat=65.2818 route=422.422 coll=9.0213 (field=0.2155 x1135) | botsP0=169 botsP1=193 stalled=0
tick=4465 frame=178.059 sim=362.881 route=1.1423 render=3.7923 simTicks=20 resim=0 | cmd=0.062 move=0.3777 vis=7.8977 econ=0.228 combat=56.9788 route=286.611 coll=7.9918 (field=0.525 x3171) | botsP0=196 botsP1=194 stalled=0
tick=4782 frame=124.259 sim=346.213 route=1.167 render=3.841 simTicks=19 resim=0 | cmd=0.0649 move=0.3894 vis=7.2805 econ=0.2284 combat=57.1126 route=271.519 coll=7.0539 (field=0.1941 x548) | botsP0=156 botsP1=191 stalled=0
