FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=4064 frame=250 sim=284.685 route=1.1231 render=7.6228 simTicks=21 resim=24 | cmd=0.1641 move=0.9021 vis=42.0626 econ=1.0078 combat=73.8711 route=218.123 coll=29.1898 | botsP0=234 botsP1=207 stalled=1
tick=4155 frame=250 sim=567.132 route=1.9377 render=6.8992 simTicks=12 resim=24 | cmd=0.1305 move=0.7257 vis=19.2802 econ=0.4485 combat=134.923 route=952.982 coll=24.5458 | botsP0=232 botsP1=205 stalled=1
tick=4112 frame=250 sim=180.881 route=0.6896 render=4.4714 simTicks=16 resim=24 | cmd=0.1254 move=0.736 vis=25.5652 econ=0.5369 combat=81.642 route=218.25 coll=24.5364 | botsP0=233 botsP1=207 stalled=1
tick=4001 frame=250 sim=255.227 route=2.6806 render=7.7534 simTicks=33 resim=19 | cmd=0.2021 move=1.034 vis=68.0183 econ=1.2492 combat=83.864 route=119.814 coll=35.5016 | botsP0=234 botsP1=208 stalled=1
tick=4212 frame=250 sim=446.455 route=0.5254 render=4.3738 simTicks=10 resim=24 | cmd=0.1506 move=0.7454 vis=16.6079 econ=0.4462 combat=124 route=1301.2 coll=24.385 | botsP0=229 botsP1=198 stalled=1
tick=4129 frame=250 sim=372.97 route=0.7395 render=4.6519 simTicks=17 resim=24 | cmd=0.1365 move=0.7717 vis=24.4415 econ=0.5267 combat=121.271 route=406.238 coll=26.6214 | botsP0=233 botsP1=206 stalled=1
tick=58 frame=250 sim=3.8916 route=0.0806 render=1.9729 simTicks=22 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=3 botsP1=3 stalled=1
tick=4202 frame=250 sim=914.443 route=3.0575 render=6.3085 simTicks=11 resim=24 | cmd=0.1822 move=0.8253 vis=17.0735 econ=0.4561 combat=137.321 route=1865.24 coll=25.16 | botsP0=229 botsP1=200 stalled=1
tick=4221 frame=250 sim=572.736 route=0.6101 render=5.1066 simTicks=9 resim=24 | cmd=0.2459 move=1.0285 vis=18.0144 econ=0.6129 combat=142.131 route=1691.26 coll=28.0277 | botsP0=229 botsP1=197 stalled=1
tick=4179 frame=250 sim=746.094 route=2.2504 render=6.0355 simTicks=12 resim=24 | cmd=0.1785 move=0.8619 vis=18.3709 econ=0.4692 combat=124.274 route=1518.07 coll=24.5816 | botsP0=231 botsP1=203 stalled=1
tick=4016 frame=250 sim=67.3224 route=0.6681 render=6.6179 simTicks=15 resim=24 | cmd=0.1676 move=0.8949 vis=45.083 econ=0.6829 combat=81.0603 route=31.5407 coll=26.1528 | botsP0=234 botsP1=208 stalled=1
tick=4230 frame=250 sim=279.827 route=0.5254 render=3.7633 simTicks=9 resim=24 | cmd=0.1389 move=0.7329 vis=15.777 econ=0.4294 combat=114.599 route=1391.23 coll=24.299 | botsP0=229 botsP1=195 stalled=1
tick=4096 frame=250 sim=194.328 route=0.428 render=4.1521 simTicks=10 resim=24 | cmd=0.1125 move=0.6501 vis=24.2506 econ=0.4923 combat=62.7189 route=244.918 coll=20.86 | botsP0=233 botsP1=207 stalled=1
tick=4191 frame=250 sim=828.798 route=0.6102 render=4.8853 simTicks=12 resim=24 | cmd=0.1952 move=0.8399 vis=18.4243 econ=0.4664 combat=136.78 route=1661.69 coll=26.3989 | botsP0=230 botsP1=202 stalled=1
tick=4143 frame=250 sim=371.492 route=0.5793 render=4.2874 simTicks=14 resim=24 | cmd=0.1213 move=0.7153 vis=21.2499 econ=0.465 combat=142.795 route=548.688 coll=24.9569 | botsP0=233 botsP1=205 stalled=1
tick=4239 frame=250 sim=411.137 route=0.5003 render=4.1568 simTicks=9 resim=24 | cmd=0.2979 move=0.9649 vis=16.6692 econ=0.5945 combat=127.583 route=1476.02 coll=27.1758 | botsP0=229 botsP1=196 stalled=1
tick=4167 frame=250 sim=626.426 route=0.5765 render=4.294 simTicks=12 resim=24 | cmd=0.1343 move=0.7549 vis=18.9095 econ=0.452 combat=130.73 route=1105.41 coll=24.5457 | botsP0=232 botsP1=203 stalled=1
tick=4086 frame=250 sim=152.423 route=0.9993 render=3.7994 simTicks=22 resim=24 | cmd=0.1558 move=0.9169 vis=37.3081 econ=0.7701 combat=71.5465 route=138.873 coll=29.4974 | botsP0=234 botsP1=207 stalled=1
