FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=4034 frame=28.7701 sim=16.6079 route=0.1731 render=4.0045 simTicks=4 resim=0 | cmd=0.0115 move=0.0699 vis=3.7123 econ=0.069 combat=8.6817 route=1.0844 coll=2.3906 | botsP0=234 botsP1=208 stalled=0
tick=3985 frame=28.3292 sim=13.5467 route=0.146 render=4.0737 simTicks=3 resim=0 | cmd=0.0101 move=0.0599 vis=3.4592 econ=0.0478 combat=6.9191 route=0.6304 coll=1.9516 | botsP0=234 botsP1=208 stalled=0
tick=3929 frame=26.0727 sim=12.413 route=0.1204 render=4.0998 simTicks=3 resim=0 | cmd=0.0101 move=0.0613 vis=4.2418 econ=0.0664 combat=2.5902 route=3.0752 coll=1.8974 | botsP0=234 botsP1=208 stalled=0
tick=4013 frame=23.9807 sim=29.8218 route=0.1622 render=4.0762 simTicks=3 resim=0 | cmd=0.0091 move=0.0573 vis=2.9878 econ=0.0483 combat=6.8012 route=17.3591 coll=2.0246 | botsP0=234 botsP1=208 stalled=0
tick=4004 frame=22.9552 sim=9.7935 route=0.1521 render=3.9082 simTicks=3 resim=0 | cmd=0.0089 move=0.0519 vis=3.2333 econ=0.0485 combat=0.6917 route=3.4977 coll=1.8591 | botsP0=234 botsP1=208 stalled=0
tick=308 frame=21.6379 sim=0.6372 route=0.0194 render=2.6429 simTicks=3 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=3 botsP1=3 stalled=0
tick=4224 frame=21.2544 sim=0 route=0 render=9.0243 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=229 botsP1=197 stalled=1
tick=3816 frame=21.239 sim=9.4721 route=0.1254 render=4.6905 simTicks=3 resim=0 | cmd=0.0087 move=0.0528 vis=5.1911 econ=0.0788 combat=0.9938 route=0.8409 coll=1.6548 | botsP0=228 botsP1=208 stalled=0
tick=4036 frame=21.1456 sim=8.1317 route=0.0881 render=4.0403 simTicks=2 resim=0 | cmd=0.0059 move=0.0871 vis=1.8412 econ=0.0312 combat=4.2725 route=0.4214 coll=1.1889 | botsP0=234 botsP1=208 stalled=0
tick=4010 frame=21.1332 sim=19.4856 route=0.1084 render=4.0121 simTicks=2 resim=0 | cmd=0.0059 move=0.0349 vis=1.9424 econ=0.0316 combat=4.5913 route=11.2837 coll=1.2681 | botsP0=234 botsP1=208 stalled=0
tick=312 frame=20.7062 sim=0.584 route=0.0157 render=1.3759 simTicks=3 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=3 botsP1=3 stalled=0
tick=2 frame=19.1347 sim=0.5275 route=0.0789 render=3.3386 simTicks=2 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=3 botsP1=3 stalled=0
tick=3987 frame=18.5571 sim=10.8679 route=0.1025 render=4.0946 simTicks=2 resim=0 | cmd=0.006 move=0.0343 vis=2.2551 econ=0.0321 combat=6.5588 route=0.4319 coll=1.2212 | botsP0=234 botsP1=208 stalled=0
tick=3948 frame=18.5039 sim=6.9849 route=0.0924 render=3.8714 simTicks=2 resim=0 | cmd=0.0092 move=0.0543 vis=2.7421 econ=0.0317 combat=2.4004 route=0.3872 coll=1.1201 | botsP0=234 botsP1=208 stalled=0
tick=2977 frame=17.9938 sim=3.3188 route=0.0188 render=2.5615 simTicks=2 resim=0 | cmd=0.0139 move=0.045 vis=0.7194 econ=0.0541 combat=1.2796 route=0.2351 coll=0.53 | botsP0=10 botsP1=208 stalled=0
tick=4019 frame=17.9862 sim=4.4515 route=0.1234 render=6.0569 simTicks=2 resim=0 | cmd=0.0059 move=0.0352 vis=1.8767 econ=0.0317 combat=0.4786 route=0.3905 coll=1.2699 | botsP0=234 botsP1=208 stalled=0
tick=4173 frame=17.8348 sim=141.215 route=0.3909 render=3.9621 simTicks=6 resim=24 | cmd=0.1059 move=0.5915 vis=15.2942 econ=0.3769 combat=105.06 route=499.916 coll=20.5223 | botsP0=231 botsP1=203 stalled=0
tick=4197 frame=17.7741 sim=214.682 route=0.4519 render=4.1213 simTicks=6 resim=24 | cmd=0.1103 move=0.6133 vis=14.6631 econ=0.3816 combat=115.975 route=597.894 coll=21.5291 | botsP0=229 botsP1=201 stalled=0
tick=3931 frame=17.5275 sim=70.9906 route=0.1921 render=4.217 simTicks=2 resim=0 | cmd=0.0065 move=1.0819 vis=2.8437 econ=0.0318 combat=4.3259 route=60.9887 coll=1.3082 | botsP0=234 botsP1=208 stalled=0
tick=4221 frame=17.4326 sim=129.01 route=0.4243 render=3.9086 simTicks=6 resim=24 | cmd=0.1219 move=0.6362 vis=14.3636 econ=0.3896 combat=112.269 route=1201.29 coll=21.748 | botsP0=229 botsP1=197 stalled=0
tick=3561 frame=16.8898 sim=5.7542 route=0.0172 render=4.0213 simTicks=2 resim=0 | cmd=0.0072 move=0.0424 vis=3.4291 econ=0.0486 combat=0.558 route=0.2751 coll=1.0329 | botsP0=199 botsP1=208 stalled=0
tick=3992 frame=16.2552 sim=6.8394 route=0.0545 render=3.8397 simTicks=1 resim=0 | cmd=0.0029 move=0.0172 vis=1.0399 econ=0.0158 combat=2.1296 route=2.9341 coll=0.5646 | botsP0=234 botsP1=208 stalled=1
tick=4208 frame=15.9016 sim=131.281 route=0.3433 render=4.4316 simTicks=5 resim=24 | cmd=0.1236 move=0.6587 vis=14.098 econ=0.3851 combat=108.298 route=748.746 coll=20.5924 | botsP0=229 botsP1=199 stalled=0
tick=3989 frame=15.717 sim=8.5869 route=0.0883 render=4.1934 simTicks=2 resim=0 | cmd=0.0059 move=0.0346 vis=2.1955 econ=0.0397 combat=4.3475 route=0.4679 coll=1.2085 | botsP0=234 botsP1=208 stalled=0
tick=4072 frame=15.4677 sim=23.3829 route=0.3002 render=4.0471 simTicks=5 resim=24 | cmd=0.102 move=0.6938 vis=25.9258 econ=0.4721 combat=43.3882 route=35.0718 coll=17.5615 | botsP0=234 botsP1=207 stalled=0
tick=3818 frame=15.1184 sim=5.6886 route=0.0672 render=3.8413 simTicks=2 resim=0 | cmd=0.0059 move=0.0343 vis=3.3656 econ=0.046 combat=0.5349 route=0.2612 coll=1.1181 | botsP0=228 botsP1=208 stalled=0
tick=4184 frame=14.9847 sim=178.44 route=0.3407 render=4.4945 simTicks=5 resim=24 | cmd=0.1038 move=0.5832 vis=14.3542 econ=0.3638 combat=111.658 route=635.821 coll=19.8277 | botsP0=230 botsP1=203 stalled=0
tick=4005 frame=14.6612 sim=2.3304 route=0.1629 render=4.393 simTicks=1 resim=0 | cmd=0.0036 move=0.019 vis=1.1149 econ=0.0162 combat=0.2338 route=0.2178 coll=0.5579 | botsP0=234 botsP1=208 stalled=0
tick=3748 frame=14.6434 sim=2.8544 route=0.0088 render=5.4042 simTicks=1 resim=0 | cmd=0.0032 move=0.0183 vis=1.7106 econ=0.0224 combat=0.2318 route=0.1321 coll=0.5464 | botsP0=227 botsP1=208 stalled=0
tick=3810 frame=14.5717 sim=5.7779 route=0.0881 render=3.7893 simTicks=2 resim=0 | cmd=0.0062 move=0.0397 vis=3.3176 econ=0.0463 combat=0.506 route=0.2705 coll=1.1048 | botsP0=228 botsP1=208 stalled=0
tick=3405 frame=14.5194 sim=4.9988 route=0.0078 render=5.0314 simTicks=1 resim=0 | cmd=0.0029 move=0.5883 vis=1.1623 econ=0.0203 combat=2.4167 route=0.131 coll=0.487 | botsP0=136 botsP1=208 stalled=0
tick=3421 frame=14.4669 sim=7.6045 route=0.0167 render=3.0699 simTicks=2 resim=0 | cmd=0.006 move=0.357 vis=2.9521 econ=0.0424 combat=2.6389 route=0.2782 coll=0.9334 | botsP0=143 botsP1=208 stalled=0
tick=3658 frame=14.4242 sim=3.924 route=0.0097 render=4.3651 simTicks=1 resim=0 | cmd=0.0032 move=0.0186 vis=2.1566 econ=0.0516 combat=0.5655 route=0.3543 coll=0.5892 | botsP0=227 botsP1=208 stalled=0
tick=3374 frame=14.1216 sim=2.8764 route=0.008 render=3.8367 simTicks=1 resim=0 | cmd=0.0048 move=0.029 vis=1.0044 econ=0.0236 combat=0.5997 route=0.5105 coll=0.4961 | botsP0=115 botsP1=208 stalled=0
tick=3913 frame=14.0611 sim=0 route=0 render=6.2759 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=233 botsP1=208 stalled=1
tick=3604 frame=14.0198 sim=6.3931 route=0.0174 render=4.4309 simTicks=2 resim=0 | cmd=0.006 move=0.0358 vis=3.2719 econ=0.0628 combat=0.7167 route=0.8847 coll=1.0724 | botsP0=213 botsP1=208 stalled=0
