FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=3783 frame=250 sim=20.0674 route=0.7501 render=3.4529 simTicks=10 resim=24 | cmd=0.1303 move=0.5564 vis=9.6669 econ=0.3622 combat=22.2787 route=28.6062 coll=10.9906 | botsP0=135 botsP1=161 stalled=1
tick=3917 frame=250 sim=0 route=0 render=3.5793 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=132 botsP1=155 stalled=1
tick=3633 frame=250 sim=0 route=0 render=6.0189 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=139 botsP1=165 stalled=0
tick=3869 frame=250 sim=3.6305 route=0.2313 render=2.9949 simTicks=2 resim=24 | cmd=0.1124 move=0.5061 vis=7.2516 econ=0.3072 combat=23.981 route=343.689 coll=8.1242 | botsP0=134 botsP1=157 stalled=1
tick=3763 frame=250 sim=18.3289 route=0.7205 render=3.4125 simTicks=9 resim=24 | cmd=0.1317 move=0.5865 vis=9.6504 econ=0.3702 combat=49.9083 route=349.807 coll=10.2943 | botsP0=135 botsP1=161 stalled=1
tick=3869 frame=250 sim=0 route=0 render=5.9681 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=134 botsP1=157 stalled=1
tick=3735 frame=250 sim=0 route=0 render=5.3607 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=135 botsP1=161 stalled=1
tick=3735 frame=250 sim=251.481 route=1.773 render=3.7063 simTicks=19 resim=24 | cmd=0.1796 move=0.8493 vis=13.1921 econ=0.5078 combat=90.1243 route=325.08 coll=14.0348 | botsP0=135 botsP1=161 stalled=1
tick=3917 frame=250 sim=0 route=0 render=4.9192 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=132 botsP1=155 stalled=1
tick=3605 frame=250 sim=0 route=0 render=5.5154 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=140 botsP1=167 stalled=1
tick=149 frame=250 sim=3.0435 route=0.0782 render=2.1701 simTicks=23 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=3 botsP1=3 stalled=1
tick=3605 frame=250 sim=94.8561 route=0.7545 render=3.6913 simTicks=9 resim=24 | cmd=0.1389 move=0.6386 vis=10.8298 econ=0.3538 combat=64.3195 route=279.578 coll=10.917 | botsP0=140 botsP1=167 stalled=1
tick=3605 frame=250 sim=0 route=0 render=5.8966 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=140 botsP1=167 stalled=1
tick=3739 frame=250 sim=156.95 route=0.3984 render=3.6029 simTicks=4 resim=0 | cmd=0.0178 move=0.0745 vis=1.3569 econ=0.0491 combat=14.0383 route=139.373 coll=1.2335 | botsP0=135 botsP1=161 stalled=1
tick=3917 frame=250 sim=0 route=0 render=4.4711 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=132 botsP1=155 stalled=1
