FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=9963 resimTicks=6162 amplification=1.61849x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=7250 frame=79.652 sim=11.7314 route=0.0273 render=1.6007 simTicks=3 resim=0 | cmd=0.0161 move=0.0571 vis=0.27 econ=0.0334 combat=10.0439 route=0.3121 coll=0.2779 (field=0 x0 prewarm=0.0087 x0) | botsP0=6 botsP1=7 stalled=0
tick=935 frame=23.7673 sim=1.0838 route=0.0089 render=1.6576 simTicks=1 resim=0 | cmd=0.0088 move=0.1815 vis=0.0954 econ=0.0143 combat=0.3472 route=0.1056 coll=0.0677 (field=0 x0 prewarm=0.0035 x0) | botsP0=3 botsP1=4 stalled=0
tick=678 frame=21.9455 sim=0.9909 route=0.0085 render=1.537 simTicks=1 resim=0 | cmd=0.0047 move=0.0137 vis=0.0657 econ=0.0103 combat=0.5102 route=0.0891 coll=0.0999 (field=0 x0 prewarm=0.0025 x0) | botsP0=3 botsP1=4 stalled=0
tick=240 frame=21.5607 sim=0 route=0 render=3.317 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
tick=1056 frame=21.4384 sim=0.8618 route=0.0091 render=4.0534 simTicks=1 resim=0 | cmd=0.0051 move=0.0335 vis=0.0679 econ=0.0115 combat=0.3473 route=0.1201 coll=0.0609 (field=0 x0 prewarm=0.0031 x0) | botsP0=3 botsP1=5 stalled=0
tick=280 frame=20.968 sim=0 route=0 render=4.6803 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
tick=4788 frame=20.8947 sim=0.7729 route=0.0065 render=4.4471 simTicks=1 resim=0 | cmd=0.0052 move=0.0135 vis=0.0639 econ=0.0089 combat=0.346 route=0.0883 coll=0.0623 (field=0 x0 prewarm=0.0027 x0) | botsP0=5 botsP1=4 stalled=0
tick=41 frame=20.8795 sim=0.2079 route=0.0068 render=6.4699 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
tick=400 frame=20.8538 sim=0 route=0 render=4.686 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
tick=160 frame=20.8183 sim=0 route=0 render=4.155 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
tick=480 frame=20.8138 sim=0 route=0 render=4.9279 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
tick=1207 frame=20.8125 sim=0 route=0 render=5.0498 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=5 stalled=0
tick=304 frame=20.7474 sim=0.7417 route=0.0062 render=3.6005 simTicks=1 resim=0 | cmd=0.0037 move=0.0132 vis=0.0712 econ=0.0075 combat=0.327 route=0.0661 coll=0.0705 (field=0 x0 prewarm=0.0023 x0) | botsP0=3 botsP1=4 stalled=0
tick=200 frame=20.7106 sim=0 route=0 render=3.766 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
tick=80 frame=20.6858 sim=0 route=0 render=3.9452 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=4 stalled=0
