FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=4769 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=2045 frame=10.9007 sim=0 route=0 render=8.7021 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=938 frame=10.8889 sim=0 route=0 render=4.8352 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3135 frame=10.8134 sim=0 route=0 render=4.2452 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=2332 frame=10.7564 sim=0 route=0 render=8.6498 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=695 frame=10.6823 sim=0 route=0 render=5.4457 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=311 frame=10.664 sim=0 route=0 render=3.0065 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3044 frame=10.509 sim=0 route=0 render=3.6783 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=862 frame=10.4183 sim=0 route=0 render=4.3632 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3849 frame=10.3422 sim=0.9249 route=0.0075 render=7.961 simTicks=1 resim=0 | cmd=0.0036 move=0.0131 vis=0.0709 econ=0.0108 combat=0.399 route=0.0872 coll=0.0649 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=4344 frame=10.3194 sim=0.8913 route=0.0088 render=5.2001 simTicks=1 resim=0 | cmd=0.0045 move=0.0158 vis=0.0749 econ=0.0077 combat=0.3944 route=0.0875 coll=0.0866 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=211 frame=10.3147 sim=0.7558 route=0.009 render=3.2287 simTicks=1 resim=0 | cmd=0.0036 move=0.0132 vis=0.0623 econ=0.0073 combat=0.3387 route=0.0792 coll=0.0626 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=3464 frame=10.1778 sim=0 route=0 render=8.4751 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=425 frame=10.1735 sim=0 route=0 render=3.1884 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=508 frame=10.1634 sim=0 route=0 render=3.2767 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=2787 frame=9.9734 sim=0 route=0 render=5.0856 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3636 frame=9.912 sim=0 route=0 render=3.2953 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=721 frame=9.6907 sim=0.7831 route=0.009 render=3.1743 simTicks=1 resim=0 | cmd=0.0046 move=0.0162 vis=0.0644 econ=0.0116 combat=0.3386 route=0.0889 coll=0.0676 (field=0 x0 prewarm=0.0055 x0) | botsP0=4 botsP1=3 stalled=0
tick=1 frame=9.4845 sim=0 route=0 render=7.9302 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=3187 frame=9.4512 sim=1.2151 route=0.0171 render=4.6792 simTicks=1 resim=0 | cmd=0.0118 move=0.0336 vis=0.0954 econ=0.008 combat=0.5379 route=0.0829 coll=0.0731 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
