FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=4827 frame=250 sim=264.399 route=7.7425 render=1.9177 simTicks=30 resim=68 | cmd=0.302 move=2.1112 vis=16.0476 econ=0.8369 combat=172.902 route=226.491 coll=29.4296 | botsP0=121 botsP1=36 stalled=0
tick=4707 frame=250 sim=151.287 route=7.5052 render=2.021 simTicks=30 resim=62 | cmd=0.3473 move=2.1117 vis=19.0182 econ=0.7986 combat=214.159 route=245.695 coll=26.5446 | botsP0=122 botsP1=38 stalled=0
tick=4609 frame=250 sim=0 route=0 render=2.8066 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=123 botsP1=41 stalled=1
tick=4896 frame=250 sim=95.7555 route=7.9452 render=1.8782 simTicks=26 resim=90 | cmd=0.3708 move=2.4973 vis=18.7012 econ=0.9631 combat=223.618 route=289.707 coll=34.2839 | botsP0=120 botsP1=34 stalled=1
tick=4612 frame=250 sim=2.7168 route=0.2355 render=2.7388 simTicks=2 resim=90 | cmd=0.3947 move=1.9941 vis=16.7381 econ=0.7388 combat=134.57 route=143.754 coll=25.046 | botsP0=123 botsP1=41 stalled=1
tick=4767 frame=250 sim=59.5168 route=6.3173 render=2.4843 simTicks=30 resim=62 | cmd=0.2857 move=1.9713 vis=16.2738 econ=0.8981 combat=165.306 route=221.835 coll=28.4454 | botsP0=122 botsP1=38 stalled=0
tick=4851 frame=250 sim=172.655 route=5.9543 render=1.8479 simTicks=24 resim=78 | cmd=0.3945 move=2.3937 vis=17.624 econ=0.9494 combat=171.952 route=347.844 coll=30.8735 | botsP0=120 botsP1=36 stalled=1
tick=4870 frame=250 sim=159.364 route=3.3389 render=3.0871 simTicks=19 resim=90 | cmd=0.3953 move=2.5542 vis=17.6895 econ=0.9809 combat=250.306 route=500.441 coll=34.506 | botsP0=120 botsP1=35 stalled=1
tick=4924 frame=250 sim=0 route=0 render=6.3532 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=120 botsP1=33 stalled=1
tick=4612 frame=250 sim=0 route=0 render=5.6002 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=123 botsP1=41 stalled=1
tick=4613 frame=250 sim=0 route=0 render=7.6525 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=123 botsP1=41 stalled=1
tick=4797 frame=250 sim=102.098 route=6.8826 render=2.388 simTicks=30 resim=54 | cmd=0.2482 move=1.8119 vis=13.8652 econ=0.6997 combat=151.146 route=111.942 coll=25.0777 | botsP0=122 botsP1=38 stalled=0
tick=4677 frame=250 sim=218.796 route=4.9423 render=2.2711 simTicks=30 resim=74 | cmd=0.4326 move=2.2018 vis=19.7468 econ=0.9668 combat=235.316 route=199.033 coll=28.5491 | botsP0=122 botsP1=38 stalled=0
tick=4924 frame=250 sim=121.722 route=7.2469 render=2.4812 simTicks=28 resim=90 | cmd=0.6071 move=2.7647 vis=20.2629 econ=2.0637 combat=278.1 route=380.462 coll=35.2046 | botsP0=120 botsP1=33 stalled=1
tick=4608 frame=250 sim=39.3705 route=2.027 render=2.422 simTicks=18 resim=0 | cmd=0.0502 move=0.3424 vis=3.2608 econ=0.1338 combat=19.9837 route=8.4038 coll=4.7293 | botsP0=123 botsP1=41 stalled=1
tick=4647 frame=250 sim=222.413 route=5.3398 render=3.1016 simTicks=33 resim=90 | cmd=0.4536 move=2.9115 vis=22.7102 econ=1.0336 combat=230.253 route=241.024 coll=34.9102 | botsP0=123 botsP1=40 stalled=0
tick=4737 frame=250 sim=161.534 route=6.0053 render=1.9881 simTicks=30 resim=62 | cmd=0.2797 move=2.101 vis=16.4653 econ=0.7848 combat=195.634 route=262.046 coll=25.639 | botsP0=122 botsP1=38 stalled=0
